"LOCATION","SUBJECT","TIME","VALUE"
"AUS","BEEF",1990,0.0000041
"AUS","BEEF",1991,27.8084011
"AUS","BEEF",1992,26.2781655
"AUS","BEEF",1993,26.2444785
"AUS","BEEF",1994,25.5412444
"AUS","BEEF",1995,25.4075551
"AUS","BEEF",1996,27.3287114
"AUS","BEEF",1997,28.8736984
"AUS","BEEF",1998,26.6533486
"AUS","BEEF",1999,27.9816648
"AUS","BEEF",2000,26.4118744
"AUS","BEEF",2001,24.5113309
"AUS","BEEF",2002,25.1667357
"AUS","BEEF",2003,25.8618825
"AUS","BEEF",2004,28.6196987
"AUS","BEEF",2005,27.1085763
"AUS","BEEF",2006,26.9678637
"AUS","BEEF",2007,24.1313091
"AUS","BEEF",2008,23.3314770
"AUS","BEEF",2009,23.4665420
"AUS","BEEF",2010,25.3494416
"AUS","BEEF",2011,23.3475804
"AUS","BEEF",2012,22.5152238
"AUS","BEEF",2013,23.8510576
"AUS","BEEF",2014,22.7042569
"AUS","BEEF",2015,20.6335798
"AUS","BEEF",2016,19.4555359
"AUS","BEEF",2017,18.7150604
"AUS","BEEF",2018,18.9106715
"AUS","BEEF",2019,18.3061204
"AUS","BEEF",2020,16.7424716
"AUS","BEEF",2021,16.6389585
"AUS","BEEF",2022,17.9569352
"AUS","PIG",1990,0.0000046
"AUS","PIG",1991,14.4511537
"AUS","PIG",1992,15.1832318
"AUS","PIG",1993,15.0101811
"AUS","PIG",1994,15.5726282
"AUS","PIG",1995,15.5799685
"AUS","PIG",1996,14.4125872
"AUS","PIG",1997,14.7933638
"AUS","PIG",1998,15.1930091
"AUS","PIG",1999,15.1321970
"AUS","PIG",2000,15.1397842
"AUS","PIG",2001,15.2392813
"AUS","PIG",2002,15.9951414
"AUS","PIG",2003,17.4484087
"AUS","PIG",2004,17.7354781
"AUS","PIG",2005,18.6527429
"AUS","PIG",2006,17.9874796
"AUS","PIG",2007,19.7075879
"AUS","PIG",2008,19.3072432
"AUS","PIG",2009,19.8982542
"AUS","PIG",2010,20.1962061
"AUS","PIG",2011,19.6747886
"AUS","PIG",2012,20.6098701
"AUS","PIG",2013,20.0904573
"AUS","PIG",2014,20.1128806
"AUS","PIG",2015,22.0227669
"AUS","PIG",2016,21.4886530
"AUS","PIG",2017,22.0096243
"AUS","PIG",2018,21.9064437
"AUS","PIG",2019,22.2856266
"AUS","PIG",2020,22.6401252
"AUS","PIG",2021,22.6273852
"AUS","PIG",2022,22.5951866
"AUS","POULTRY",1990,21.9466852
"AUS","POULTRY",1991,22.2432282
"AUS","POULTRY",1992,22.3287102
"AUS","POULTRY",1993,23.6932306
"AUS","POULTRY",1994,24.3577749
"AUS","POULTRY",1995,24.1051555
"AUS","POULTRY",1996,24.5040820
"AUS","POULTRY",1997,25.6785321
"AUS","POULTRY",1998,27.5269805
"AUS","POULTRY",1999,27.8894770
"AUS","POULTRY",2000,29.5657200
"AUS","POULTRY",2001,29.1132324
"AUS","POULTRY",2002,32.3703095
"AUS","POULTRY",2003,31.2912987
"AUS","POULTRY",2004,32.6971727
"AUS","POULTRY",2005,33.9906714
"AUS","POULTRY",2006,35.1056450
"AUS","POULTRY",2007,34.7189601
"AUS","POULTRY",2008,33.2447542
"AUS","POULTRY",2009,33.5966590
"AUS","POULTRY",2010,37.7034801
"AUS","POULTRY",2011,39.6017037
"AUS","POULTRY",2012,40.4637372
"AUS","POULTRY",2013,40.3420558
"AUS","POULTRY",2014,41.0586163
"AUS","POULTRY",2015,42.2694495
"AUS","POULTRY",2016,44.7812174
"AUS","POULTRY",2017,43.5651252
"AUS","POULTRY",2018,44.1278737
"AUS","POULTRY",2019,44.7674042
"AUS","POULTRY",2020,44.2231490
"AUS","POULTRY",2021,44.3985685
"AUS","POULTRY",2022,44.5085413
"AUS","SHEEP",1990,18.9231413
"AUS","SHEEP",1991,19.3225514
"AUS","SHEEP",1992,17.8750445
"AUS","SHEEP",1993,17.4067587
"AUS","SHEEP",1994,18.4173913
"AUS","SHEEP",1995,15.0453272
"AUS","SHEEP",1996,14.7286437
"AUS","SHEEP",1997,14.9969643
"AUS","SHEEP",1998,15.4116962
"AUS","SHEEP",1999,15.1887682
"AUS","SHEEP",2000,16.3041118
"AUS","SHEEP",2001,14.9199908
"AUS","SHEEP",2002,13.7269042
"AUS","SHEEP",2003,12.1079723
"AUS","SHEEP",2004,11.9430947
"AUS","SHEEP",2005,11.9563375
"AUS","SHEEP",2006,12.3418218
"AUS","SHEEP",2007,12.5684248
"AUS","SHEEP",2008,10.9866568
"AUS","SHEEP",2009,10.3391790
"AUS","SHEEP",2010,8.9872208
"AUS","SHEEP",2011,8.0668573
"AUS","SHEEP",2012,8.7543163
"AUS","SHEEP",2013,8.7619889
"AUS","SHEEP",2014,8.1585096
"AUS","SHEEP",2015,9.3979731
"AUS","SHEEP",2016,8.5547268
"AUS","SHEEP",2017,7.7740584
"AUS","SHEEP",2018,7.2823466
"AUS","SHEEP",2019,7.2090277
"AUS","SHEEP",2020,7.2229449
"AUS","SHEEP",2021,7.3165165
"AUS","SHEEP",2022,7.2516503
"CAN","BEEF",1990,24.8649127
"CAN","BEEF",1991,24.3202586
"CAN","BEEF",1992,23.6959828
"CAN","BEEF",1993,22.6752185
"CAN","BEEF",1994,23.0936308
"CAN","BEEF",1995,23.1770330
"CAN","BEEF",1996,22.9203985
"CAN","BEEF",1997,22.9821631
"CAN","BEEF",1998,23.2582329
"CAN","BEEF",1999,23.6815793
"CAN","BEEF",2000,23.2983589
"CAN","BEEF",2001,22.3947807
"CAN","BEEF",2002,22.3128746
"CAN","BEEF",2003,23.5508928
"CAN","BEEF",2004,22.6155635
"CAN","BEEF",2005,21.9099737
"CAN","BEEF",2006,21.6391576
"CAN","BEEF",2007,22.0857172
"CAN","BEEF",2008,21.4303775
"CAN","BEEF",2009,20.4074140
"CAN","BEEF",2010,20.2925988
"CAN","BEEF",2011,19.8042664
"CAN","BEEF",2012,20.0246118
"CAN","BEEF",2013,19.8356049
"CAN","BEEF",2014,19.2093047
"CAN","BEEF",2015,17.6707152
"CAN","BEEF",2016,18.0531748
"CAN","BEEF",2017,18.0733324
"CAN","BEEF",2018,17.9661537
"CAN","BEEF",2019,17.6454236
"CAN","BEEF",2020,17.3695921
"CAN","BEEF",2021,17.2589601
"CAN","BEEF",2022,17.0276864
"CAN","PIG",1990,20.4840766
"CAN","PIG",1991,20.2535039
"CAN","PIG",1992,22.2164283
"CAN","PIG",1993,21.6254246
"CAN","PIG",1994,22.2403658
"CAN","PIG",1995,21.7698469
"CAN","PIG",1996,20.3642262
"CAN","PIG",1997,19.9272945
"CAN","PIG",1998,22.4781856
"CAN","PIG",1999,23.5515384
"CAN","PIG",2000,22.4688684
"CAN","PIG",2001,22.6989403
"CAN","PIG",2002,21.8518842
"CAN","PIG",2003,19.7237063
"CAN","PIG",2004,20.9174696
"CAN","PIG",2005,18.0781950
"CAN","PIG",2006,18.3803008
"CAN","PIG",2007,19.6414916
"CAN","PIG",2008,18.6634915
"CAN","PIG",2009,18.4577709
"CAN","PIG",2010,17.2696746
"CAN","PIG",2011,16.7411503
"CAN","PIG",2012,17.4453097
"CAN","PIG",2013,16.3449432
"CAN","PIG",2014,16.1199355
"CAN","PIG",2015,18.0324897
"CAN","PIG",2016,16.2477304
"CAN","PIG",2017,16.0056271
"CAN","PIG",2018,16.0446999
"CAN","PIG",2019,15.7406044
"CAN","PIG",2020,15.8758696
"CAN","PIG",2021,15.7906213
"CAN","PIG",2022,15.6981495
"CAN","POULTRY",1990,24.2864679
"CAN","POULTRY",1991,24.2590248
"CAN","POULTRY",1992,24.2856086
"CAN","POULTRY",1993,24.8948038
"CAN","POULTRY",1994,26.4931090
"CAN","POULTRY",1995,26.1754396
"CAN","POULTRY",1996,25.9828741
"CAN","POULTRY",1997,26.4719598
"CAN","POULTRY",1998,27.0657422
"CAN","POULTRY",1999,28.2540488
"CAN","POULTRY",2000,29.5643114
"CAN","POULTRY",2001,30.7479715
"CAN","POULTRY",2002,31.0701783
"CAN","POULTRY",2003,31.1981051
"CAN","POULTRY",2004,31.4236565
"CAN","POULTRY",2005,31.5672994
"CAN","POULTRY",2006,31.8224213
"CAN","POULTRY",2007,31.9241710
"CAN","POULTRY",2008,32.0175212
"CAN","POULTRY",2009,31.6379655
"CAN","POULTRY",2010,31.3216125
"CAN","POULTRY",2011,30.3277189
"CAN","POULTRY",2012,30.0834158
"CAN","POULTRY",2013,30.3883658
"CAN","POULTRY",2014,31.2147146
"CAN","POULTRY",2015,32.6267255
"CAN","POULTRY",2016,33.2734139
"CAN","POULTRY",2017,33.5540689
"CAN","POULTRY",2018,33.7886485
"CAN","POULTRY",2019,33.8710827
"CAN","POULTRY",2020,33.7170553
"CAN","POULTRY",2021,34.0178764
"CAN","POULTRY",2022,34.0017543
"CAN","SHEEP",1990,0.7296111
"CAN","SHEEP",1991,0.7634441
"CAN","SHEEP",1992,0.7403547
"CAN","SHEEP",1993,0.7515398
"CAN","SHEEP",1994,0.7224679
"CAN","SHEEP",1995,0.7125822
"CAN","SHEEP",1996,0.6633718
"CAN","SHEEP",1997,0.6512521
"CAN","SHEEP",1998,0.7292992
"CAN","SHEEP",1999,0.7530366
"CAN","SHEEP",2000,0.8288742
"CAN","SHEEP",2001,0.9102186
"CAN","SHEEP",2002,0.9094789
"CAN","SHEEP",2003,0.9515705
"CAN","SHEEP",2004,0.9728405
"CAN","SHEEP",2005,0.9819904
"CAN","SHEEP",2006,1.0653139
"CAN","SHEEP",2007,1.0697565
"CAN","SHEEP",2008,1.0234561
"CAN","SHEEP",2009,1.0120467
"CAN","SHEEP",2010,0.9524073
"CAN","SHEEP",2011,0.9307403
"CAN","SHEEP",2012,0.8469539
"CAN","SHEEP",2013,0.8778685
"CAN","SHEEP",2014,0.9221497
"CAN","SHEEP",2015,0.9159932
"CAN","SHEEP",2016,0.9304451
"CAN","SHEEP",2017,0.9688045
"CAN","SHEEP",2018,0.9505419
"CAN","SHEEP",2019,0.8899371
