LOCATION,SUBJECT,TIME,VALUE
ARG,BEEF,1990,55.3699945
ARG,BEEF,1991,51.6379829
ARG,BEEF,1992,50.7891785
ARG,BEEF,1993,51.4646666
ARG,BEEF,1994,48.3752331
ARG,BEEF,1995,43.4852053
ARG,BEEF,1996,44.0023536
ARG,BEEF,1997,44.6393105
ARG,BEEF,1998,41.4285208
ARG,BEEF,1999,45.5340638
ARG,BEEF,2000,45.0536955
ARG,BEEF,2001,43.7581639
ARG,BEEF,2002,40.2826181
ARG,BEEF,2003,41.6216528
ARG,BEEF,2004,43.5016634
ARG,BEEF,2005,42.6442665
ARG,BEEF,2006,43.7894481
ARG,BEEF,2007,47.07573729999999
ARG,BEEF,2008,46.9160186
ARG,BEEF,2009,46.701952399999996
ARG,BEEF,2010,39.4477161
ARG,BEEF,2011,37.861098
ARG,BEEF,2012,40.223983000000004
ARG,BEEF,2013,43.693506
ARG,BEEF,2014,40.77634929999999
ARG,BEEF,2015,40.655013700000005
ARG,BEEF,2016,38.969218299999994
ARG,BEEF,2017,39.6399098
ARG,BEEF,2018,39.9271745
ARG,BEEF,2019,39.6930414
ARG,BEEF,2020,39.7126056
ARG,BEEF,2021,39.45353789999999
ARG,BEEF,2022,39.1604273
ARG,PIG,1990,3.6612652999999997
ARG,PIG,1991,3.5990225
ARG,PIG,1992,4.4698655
ARG,PIG,1993,4.8307273
ARG,PIG,1994,4.8149142
ARG,PIG,1995,5.0617265
ARG,PIG,1996,4.8645857
ARG,PIG,1997,4.723453299999999
ARG,PIG,1998,5.4477101999999995
ARG,PIG,1999,6.1179934000000005
ARG,PIG,2000,5.958887799999999
ARG,PIG,2001,4.7576023
ARG,PIG,2002,4.4201785000000005
ARG,PIG,2003,3.9285089
ARG,PIG,2004,4.2285177
ARG,PIG,2005,4.794217400000001
ARG,PIG,2006,5.8897982
ARG,PIG,2007,6.001421400000001
ARG,PIG,2008,5.8882093
ARG,PIG,2009,6.3653724
ARG,PIG,2010,6.0884231
ARG,PIG,2011,6.5285068
ARG,PIG,2012,6.5814143
ARG,PIG,2013,7.815454300000001
ARG,PIG,2014,7.9621844
ARG,PIG,2015,8.5628008
ARG,PIG,2016,9.5990154
ARG,PIG,2017,10.3149522
ARG,PIG,2018,10.838643
ARG,PIG,2019,11.107547199999999
ARG,PIG,2020,11.580690800000001
ARG,PIG,2021,11.6308024
ARG,PIG,2022,11.694284699999999
ARG,POULTRY,1990,8.6306856
ARG,POULTRY,1991,8.849334599999999
ARG,POULTRY,1992,9.9894155
ARG,POULTRY,1993,15.3783051
ARG,POULTRY,1994,18.309126199999998
ARG,POULTRY,1995,18.573143100000003
ARG,POULTRY,1996,19.5335692
ARG,POULTRY,1997,18.9115464
ARG,POULTRY,1998,19.705820000000003
ARG,POULTRY,1999,22.927372000000002
ARG,POULTRY,2000,22.7870228
ARG,POULTRY,2001,21.9084112
ARG,POULTRY,2002,15.339419099999999
ARG,POULTRY,2003,16.0278429
ARG,POULTRY,2004,18.7728678
ARG,POULTRY,2005,21.0083472
ARG,POULTRY,2006,24.1729287
ARG,POULTRY,2007,25.5578514
ARG,POULTRY,2008,27.744730199999996
ARG,POULTRY,2009,29.502431
ARG,POULTRY,2010,31.2605365
ARG,POULTRY,2011,34.7271165
ARG,POULTRY,2012,36.5646396
ARG,POULTRY,2013,35.3965854
ARG,POULTRY,2014,36.3985329
ARG,POULTRY,2015,38.943324
ARG,POULTRY,2016,38.6239305
ARG,POULTRY,2017,38.053584
ARG,POULTRY,2018,38.1822211
ARG,POULTRY,2019,38.1820814
ARG,POULTRY,2020,38.2200223
ARG,POULTRY,2021,38.2834098
ARG,POULTRY,2022,38.342665999999994
ARG,SHEEP,1990,2.7000000000000004e-06
ARG,SHEEP,1991,2.3390801
ARG,SHEEP,1992,1.8866983
ARG,SHEEP,1993,1.8609107
ARG,SHEEP,1994,2.3632611
ARG,SHEEP,1995,2.2223758
ARG,SHEEP,1996,1.7780692999999999
ARG,SHEEP,1997,1.6170492
ARG,SHEEP,1998,1.4141357
ARG,SHEEP,1999,1.3291116000000003
ARG,SHEEP,2000,1.4049667
ARG,SHEEP,2001,1.3891788
ARG,SHEEP,2002,1.3558992
ARG,SHEEP,2003,1.3016326
ARG,SHEEP,2004,1.2520738
ARG,SHEEP,2005,1.1802673000000001
ARG,SHEEP,2006,1.1490291000000001
ARG,SHEEP,2007,1.1681625
ARG,SHEEP,2008,1.0941643
ARG,SHEEP,2009,1.0304221
ARG,SHEEP,2010,1.0239108000000001
ARG,SHEEP,2011,1.0780992
ARG,SHEEP,2012,1.1727553
ARG,SHEEP,2013,1.1422023000000001
ARG,SHEEP,2014,1.2102805
ARG,SHEEP,2015,1.1377784
ARG,SHEEP,2016,1.0041184
ARG,SHEEP,2017,0.9611552
ARG,SHEEP,2018,0.9620146999999999
ARG,SHEEP,2019,0.9600394
ARG,SHEEP,2020,0.9624009
ARG,SHEEP,2021,0.9641004999999999
ARG,SHEEP,2022,0.9659309000000001
