LOCATION,SUBJECT,TIME,VALUE
AUS,BEEF,1990,4.1e-06
AUS,BEEF,1991,27.8084011
AUS,BEEF,1992,26.278165500000004
AUS,BEEF,1993,26.244478499999996
AUS,BEEF,1994,25.5412444
AUS,BEEF,1995,25.4075551
AUS,BEEF,1996,27.3287114
AUS,BEEF,1997,28.8736984
AUS,BEEF,1998,26.653348600000005
AUS,BEEF,1999,27.981664799999997
AUS,BEEF,2000,26.411874400000002
AUS,BEEF,2001,24.511330899999997
AUS,BEEF,2002,25.1667357
AUS,BEEF,2003,25.8618825
AUS,BEEF,2004,28.619698699999997
AUS,BEEF,2005,27.108576300000003
AUS,BEEF,2006,26.9678637
AUS,BEEF,2007,24.131309100000003
AUS,BEEF,2008,23.331477
AUS,BEEF,2009,23.466542
AUS,BEEF,2010,25.349441600000002
AUS,BEEF,2011,23.3475804
AUS,BEEF,2012,22.5152238
AUS,BEEF,2013,23.8510576
AUS,BEEF,2014,22.704256899999997
AUS,BEEF,2015,20.6335798
AUS,BEEF,2016,19.4555359
AUS,BEEF,2017,18.7150604
AUS,BEEF,2018,18.9106715
AUS,BEEF,2019,18.3061204
AUS,BEEF,2020,16.7424716
AUS,BEEF,2021,16.638958499999998
AUS,BEEF,2022,17.9569352
AUS,PIG,1990,4.6e-06
AUS,PIG,1991,14.451153699999999
AUS,PIG,1992,15.1832318
AUS,PIG,1993,15.010181099999999
AUS,PIG,1994,15.5726282
AUS,PIG,1995,15.5799685
AUS,PIG,1996,14.4125872
AUS,PIG,1997,14.7933638
AUS,PIG,1998,15.1930091
AUS,PIG,1999,15.132197
AUS,PIG,2000,15.139784200000001
AUS,PIG,2001,15.2392813
AUS,PIG,2002,15.9951414
AUS,PIG,2003,17.4484087
AUS,PIG,2004,17.7354781
AUS,PIG,2005,18.652742899999996
AUS,PIG,2006,17.9874796
AUS,PIG,2007,19.7075879
AUS,PIG,2008,19.3072432
AUS,PIG,2009,19.8982542
AUS,PIG,2010,20.1962061
AUS,PIG,2011,19.674788600000003
AUS,PIG,2012,20.6098701
AUS,PIG,2013,20.0904573
AUS,PIG,2014,20.1128806
AUS,PIG,2015,22.0227669
AUS,PIG,2016,21.488653
AUS,PIG,2017,22.009624300000002
AUS,PIG,2018,21.9064437
AUS,PIG,2019,22.2856266
AUS,PIG,2020,22.640125199999996
AUS,PIG,2021,22.6273852
AUS,PIG,2022,22.5951866
AUS,POULTRY,1990,21.946685199999997
AUS,POULTRY,1991,22.2432282
AUS,POULTRY,1992,22.3287102
AUS,POULTRY,1993,23.6932306
AUS,POULTRY,1994,24.3577749
AUS,POULTRY,1995,24.1051555
AUS,POULTRY,1996,24.504082
AUS,POULTRY,1997,25.6785321
AUS,POULTRY,1998,27.5269805
AUS,POULTRY,1999,27.889477000000003
AUS,POULTRY,2000,29.565720000000002
AUS,POULTRY,2001,29.113232399999998
AUS,POULTRY,2002,32.3703095
AUS,POULTRY,2003,31.291298699999995
AUS,POULTRY,2004,32.6971727
AUS,POULTRY,2005,33.9906714
AUS,POULTRY,2006,35.105645
AUS,POULTRY,2007,34.718960100000004
AUS,POULTRY,2008,33.2447542
AUS,POULTRY,2009,33.596659
AUS,POULTRY,2010,37.7034801
AUS,POULTRY,2011,39.6017037
AUS,POULTRY,2012,40.463737200000004
AUS,POULTRY,2013,40.3420558
AUS,POULTRY,2014,41.0586163
AUS,POULTRY,2015,42.2694495
AUS,POULTRY,2016,44.7812174
AUS,POULTRY,2017,43.565125200000004
AUS,POULTRY,2018,44.1278737
AUS,POULTRY,2019,44.7674042
AUS,POULTRY,2020,44.223149
AUS,POULTRY,2021,44.3985685
AUS,POULTRY,2022,44.5085413
AUS,SHEEP,1990,18.9231413
AUS,SHEEP,1991,19.3225514
AUS,SHEEP,1992,17.8750445
AUS,SHEEP,1993,17.4067587
AUS,SHEEP,1994,18.4173913
AUS,SHEEP,1995,15.0453272
AUS,SHEEP,1996,14.728643700000001
AUS,SHEEP,1997,14.996964300000002
AUS,SHEEP,1998,15.4116962
AUS,SHEEP,1999,15.1887682
AUS,SHEEP,2000,16.3041118
AUS,SHEEP,2001,14.919990799999999
AUS,SHEEP,2002,13.726904199999998
AUS,SHEEP,2003,12.107972300000002
AUS,SHEEP,2004,11.943094699999998
AUS,SHEEP,2005,11.9563375
AUS,SHEEP,2006,12.3418218
AUS,SHEEP,2007,12.5684248
AUS,SHEEP,2008,10.986656800000002
AUS,SHEEP,2009,10.339179
AUS,SHEEP,2010,8.987220800000001
AUS,SHEEP,2011,8.0668573
AUS,SHEEP,2012,8.7543163
AUS,SHEEP,2013,8.7619889
AUS,SHEEP,2014,8.158509599999999
AUS,SHEEP,2015,9.3979731
AUS,SHEEP,2016,8.554726800000001
AUS,SHEEP,2017,7.7740584
AUS,SHEEP,2018,7.2823466
AUS,SHEEP,2019,7.2090277
AUS,SHEEP,2020,7.222944900000001
AUS,SHEEP,2021,7.3165165
AUS,SHEEP,2022,7.2516503
