LOCATION,SUBJECT,TIME,VALUE
BRA,BEEF,1990,20.8191505
BRA,BEEF,1991,20.6350223
BRA,BEEF,1992,20.5016309
BRA,BEEF,1993,20.7758468
BRA,BEEF,1994,23.219386
BRA,BEEF,1995,25.861513199999997
BRA,BEEF,1996,26.420197100000003
BRA,BEEF,1997,24.663008899999998
BRA,BEEF,1998,23.404103699999997
BRA,BEEF,1999,24.889708600000002
BRA,BEEF,2000,25.165266600000002
BRA,BEEF,2001,24.914794
BRA,BEEF,2002,25.6110566
BRA,BEEF,2003,29.586430199999995
BRA,BEEF,2004,27.568486100000005
BRA,BEEF,2005,29.596530100000003
BRA,BEEF,2006,31.938111199999998
BRA,BEEF,2007,30.614099300000003
BRA,BEEF,2008,26.8547707
BRA,BEEF,2009,25.5403057
BRA,BEEF,2010,26.1797238
BRA,BEEF,2011,25.7506945
BRA,BEEF,2012,25.995219
BRA,BEEF,2013,27.576603100000003
BRA,BEEF,2014,25.8564087
BRA,BEEF,2015,24.787159600000003
BRA,BEEF,2016,25.208505
BRA,BEEF,2017,25.1970334
BRA,BEEF,2018,24.4725008
BRA,BEEF,2019,24.5911002
BRA,BEEF,2020,24.7922077
BRA,BEEF,2021,24.7080674
BRA,BEEF,2022,24.651194699999998
BRA,PIG,1990,5.5489667
BRA,PIG,1991,5.7051428
BRA,PIG,1992,5.7973555999999995
BRA,PIG,1993,5.9929866999999994
BRA,PIG,1994,6.192913900000001
BRA,PIG,1995,6.7481266
BRA,PIG,1996,7.3088952
BRA,PIG,1997,6.796708199999999
BRA,PIG,1998,7.209733
BRA,PIG,1999,7.227154700000001
BRA,PIG,2000,10.7288008
BRA,PIG,2001,10.9622638
BRA,PIG,2002,10.4743252
BRA,PIG,2003,9.5491863
BRA,PIG,2004,9.047775999999999
BRA,PIG,2005,8.8614097
BRA,PIG,2006,10.1207545
BRA,PIG,2007,9.9499455
BRA,PIG,2008,10.2972451
BRA,PIG,2009,10.597740400000001
BRA,PIG,2010,10.950388499999999
BRA,PIG,2011,11.580908500000001
BRA,PIG,2012,11.595207499999999
BRA,PIG,2013,11.452292
BRA,PIG,2014,12.224476600000001
BRA,PIG,2015,12.0988671
BRA,PIG,2016,11.6177564
BRA,PIG,2017,12.0645951
BRA,PIG,2018,12.3348397
BRA,PIG,2019,12.2711994
BRA,PIG,2020,12.328113499999999
BRA,PIG,2021,12.5148288
BRA,PIG,2022,12.7179108
BRA,POULTRY,1990,12.4838128
BRA,POULTRY,1991,13.784575400000001
BRA,POULTRY,1992,14.6478544
BRA,POULTRY,1993,15.170867600000001
BRA,POULTRY,1994,16.5734452
BRA,POULTRY,1995,20.1263022
BRA,POULTRY,1996,19.094049
BRA,POULTRY,1997,20.5736343
BRA,POULTRY,1998,22.434447100000003
BRA,POULTRY,1999,24.7591591
BRA,POULTRY,2000,25.9852993
BRA,POULTRY,2001,25.046876899999997
BRA,POULTRY,2002,27.039313699999997
BRA,POULTRY,2003,28.490551899999996
BRA,POULTRY,2004,30.031971399999996
BRA,POULTRY,2005,24.3260246
BRA,POULTRY,2006,26.144119
BRA,POULTRY,2007,27.4537952
BRA,POULTRY,2008,31.3590485
BRA,POULTRY,2009,30.0400047
BRA,POULTRY,2010,38.7997881
BRA,POULTRY,2011,40.261955799999996
BRA,POULTRY,2012,39.581981299999995
BRA,POULTRY,2013,39.0444395
BRA,POULTRY,2014,39.4568344
BRA,POULTRY,2015,40.673369
BRA,POULTRY,2016,40.0265544
BRA,POULTRY,2017,40.6216656
BRA,POULTRY,2018,39.8116837
BRA,POULTRY,2019,40.2605168
BRA,POULTRY,2020,40.7377633
BRA,POULTRY,2021,40.6023785
BRA,POULTRY,2022,39.95489620000001
BRA,SHEEP,1990,0.6740468000000001
BRA,SHEEP,1991,0.6707508000000001
BRA,SHEEP,1992,0.6661483
BRA,SHEEP,1993,0.6877587
BRA,SHEEP,1994,0.6628722
BRA,SHEEP,1995,0.7002685000000001
BRA,SHEEP,1996,0.5523014
BRA,SHEEP,1997,0.5607429
BRA,SHEEP,1998,0.5623358
BRA,SHEEP,1999,0.58216
BRA,SHEEP,2000,0.5487718
BRA,SHEEP,2001,0.5185079
BRA,SHEEP,2002,0.49628540000000004
BRA,SHEEP,2003,0.48510879999999995
BRA,SHEEP,2004,0.5162629
BRA,SHEEP,2005,0.5183331
BRA,SHEEP,2006,0.528301
BRA,SHEEP,2007,0.5276411999999999
BRA,SHEEP,2008,0.5299822
BRA,SHEEP,2009,0.5209088
BRA,SHEEP,2010,0.5261503000000001
BRA,SHEEP,2011,0.5238548
BRA,SHEEP,2012,0.5298977
BRA,SHEEP,2013,0.5419643
BRA,SHEEP,2014,0.5434486999999999
BRA,SHEEP,2015,0.5517552
BRA,SHEEP,2016,0.5466651
BRA,SHEEP,2017,0.5513579000000001
BRA,SHEEP,2018,0.5579609999999999
BRA,SHEEP,2019,0.5498076999999999
BRA,SHEEP,2020,0.5483781
BRA,SHEEP,2021,0.5471090000000001
BRA,SHEEP,2022,0.5459996
