LOCATION,SUBJECT,TIME,VALUE
BRICS,BEEF,1990,2.4403375
BRICS,BEEF,1991,2.4801808
BRICS,BEEF,1992,3.8081552000000003
BRICS,BEEF,1993,3.8278649
BRICS,BEEF,1994,4.0106182
BRICS,BEEF,1995,4.221262599999999
BRICS,BEEF,1996,4.2056074
BRICS,BEEF,1997,4.2973999
BRICS,BEEF,1998,4.2327667
BRICS,BEEF,1999,4.291686299999999
BRICS,BEEF,2000,4.1432367999999995
BRICS,BEEF,2001,4.1909443
BRICS,BEEF,2002,4.2798474
BRICS,BEEF,2003,4.5552074000000005
BRICS,BEEF,2004,4.4403755
BRICS,BEEF,2005,4.5891739000000005
BRICS,BEEF,2006,4.718481099999999
BRICS,BEEF,2007,4.7275573
BRICS,BEEF,2008,4.5449694
BRICS,BEEF,2009,4.4279278
BRICS,BEEF,2010,4.425716400000001
BRICS,BEEF,2011,4.2647192
BRICS,BEEF,2012,4.2802323
BRICS,BEEF,2013,4.281019799999999
BRICS,BEEF,2014,4.1060826
BRICS,BEEF,2015,4.0863943
BRICS,BEEF,2016,4.1283224999999995
BRICS,BEEF,2017,4.1334345
BRICS,BEEF,2018,4.2260127
BRICS,BEEF,2019,4.233456200000001
BRICS,BEEF,2020,4.2623481
BRICS,BEEF,2021,4.2680718
BRICS,BEEF,2022,4.2781078
BRICS,PIG,1990,7.9329224
BRICS,PIG,1991,8.360947099999999
BRICS,PIG,1992,8.8893229
BRICS,PIG,1993,10.332011999999999
BRICS,PIG,1994,10.9486292
BRICS,PIG,1995,11.0276502
BRICS,PIG,1996,10.8092726
BRICS,PIG,1997,11.950586
BRICS,PIG,1998,12.690465
BRICS,PIG,1999,12.556139300000002
BRICS,PIG,2000,12.828793699999999
BRICS,PIG,2001,12.961314999999999
BRICS,PIG,2002,13.0959711
BRICS,PIG,2003,13.182992
BRICS,PIG,2004,13.261146499999999
BRICS,PIG,2005,13.759961800000001
BRICS,PIG,2006,14.059738500000002
BRICS,PIG,2007,13.0717686
BRICS,PIG,2008,14.1124411
BRICS,PIG,2009,14.6991634
BRICS,PIG,2010,15.1857712
BRICS,PIG,2011,15.214127300000001
BRICS,PIG,2012,15.8680064
BRICS,PIG,2013,16.2607964
BRICS,PIG,2014,16.6321461
BRICS,PIG,2015,16.215998499999998
BRICS,PIG,2016,15.7947804
BRICS,PIG,2017,15.6485798
BRICS,PIG,2018,15.3810577
BRICS,PIG,2019,14.8184337
BRICS,PIG,2020,15.364426199999999
BRICS,PIG,2021,15.4382989
BRICS,PIG,2022,15.4717185
BRICS,POULTRY,1990,1.1351002000000001
BRICS,POULTRY,1991,2.6799967999999996
BRICS,POULTRY,1992,3.4492993999999997
BRICS,POULTRY,1993,3.9070449000000003
BRICS,POULTRY,1994,4.3815384
BRICS,POULTRY,1995,5.2128083
BRICS,POULTRY,1996,5.0351041
BRICS,POULTRY,1997,5.6568663
BRICS,POULTRY,1998,6.016766400000001
BRICS,POULTRY,1999,6.162432900000001
BRICS,POULTRY,2000,6.7317938999999996
BRICS,POULTRY,2001,6.7903088
BRICS,POULTRY,2002,7.0543548
BRICS,POULTRY,2003,7.2978540999999995
BRICS,POULTRY,2004,7.340466999999999
BRICS,POULTRY,2005,7.377979300000001
BRICS,POULTRY,2006,7.691685499999999
BRICS,POULTRY,2007,8.3104838
BRICS,POULTRY,2008,9.214163699999999
BRICS,POULTRY,2009,9.0396684
BRICS,POULTRY,2010,9.7101656
BRICS,POULTRY,2011,9.994767800000002
BRICS,POULTRY,2012,10.4000677
BRICS,POULTRY,2013,10.526354800000002
BRICS,POULTRY,2014,10.358220300000001
BRICS,POULTRY,2015,10.4483576
BRICS,POULTRY,2016,10.766295
BRICS,POULTRY,2017,10.7908946
BRICS,POULTRY,2018,10.832777199999999
BRICS,POULTRY,2019,11.137998399999999
BRICS,POULTRY,2020,11.216175999999999
BRICS,POULTRY,2021,11.2704132
BRICS,POULTRY,2022,11.2936655
BRICS,SHEEP,1990,0.7221844000000001
BRICS,SHEEP,1991,0.755452
BRICS,SHEEP,1992,0.9011943000000001
BRICS,SHEEP,1993,0.9394004000000001
BRICS,SHEEP,1994,0.9563176
BRICS,SHEEP,1995,1.0258241
BRICS,SHEEP,1996,1.0151971
BRICS,SHEEP,1997,1.1071581
BRICS,SHEEP,1998,1.1618006
BRICS,SHEEP,1999,1.2003553
BRICS,SHEEP,2000,1.2227794
BRICS,SHEEP,2001,1.2178584
BRICS,SHEEP,2002,1.2458619
BRICS,SHEEP,2003,1.3045545
BRICS,SHEEP,2004,1.3829643
BRICS,SHEEP,2005,1.4353658999999999
BRICS,SHEEP,2006,1.4773851
BRICS,SHEEP,2007,1.5460082
BRICS,SHEEP,2008,1.5283628999999999
BRICS,SHEEP,2009,1.5203525
BRICS,SHEEP,2010,1.5588079
BRICS,SHEEP,2011,1.5332753000000001
BRICS,SHEEP,2012,1.5551574
BRICS,SHEEP,2013,1.6043724
BRICS,SHEEP,2014,1.6583935
BRICS,SHEEP,2015,1.6583566000000003
BRICS,SHEEP,2016,1.7024987
BRICS,SHEEP,2017,1.7182102
BRICS,SHEEP,2018,1.7406743000000002
BRICS,SHEEP,2019,1.7545598999999998
BRICS,SHEEP,2020,1.7723328999999999
BRICS,SHEEP,2021,1.7842220000000002
BRICS,SHEEP,2022,1.7980342
