LOCATION,SUBJECT,TIME,VALUE
CHL,BEEF,1990,12.9684834
CHL,BEEF,1991,12.568150300000001
CHL,BEEF,1992,12.102894099999999
CHL,BEEF,1993,13.5994799
CHL,BEEF,1994,14.556880900000001
CHL,BEEF,1995,15.8325157
CHL,BEEF,1996,16.4446486
CHL,BEEF,1997,17.4792429
CHL,BEEF,1998,16.421403599999998
CHL,BEEF,1999,15.401399599999998
CHL,BEEF,2000,15.599070300000001
CHL,BEEF,2001,14.1197738
CHL,BEEF,2002,14.921499300000002
CHL,BEEF,2003,15.4910989
CHL,BEEF,2004,15.801800400000001
CHL,BEEF,2005,16.244951500000003
CHL,BEEF,2006,14.4357146
CHL,BEEF,2007,15.5368858
CHL,BEEF,2008,14.6465746
CHL,BEEF,2009,14.697621799999999
CHL,BEEF,2010,15.412329199999999
CHL,BEEF,2011,14.0279922
CHL,BEEF,2012,14.584359599999999
CHL,BEEF,2013,17.1330043
CHL,BEEF,2014,17.5897027
CHL,BEEF,2015,17.4455794
CHL,BEEF,2016,18.8788452
CHL,BEEF,2017,17.5939391
CHL,BEEF,2018,18.7423401
CHL,BEEF,2019,18.8933784
CHL,BEEF,2020,19.0935357
CHL,BEEF,2021,19.2748275
CHL,BEEF,2022,19.4393838
CHL,PIG,1990,7.1657207
CHL,PIG,1991,7.0244
CHL,PIG,1992,7.5007334000000006
CHL,PIG,1993,8.095557000000001
CHL,PIG,1994,8.6716545
CHL,PIG,1995,9.332106699999999
CHL,PIG,1996,9.836419099999999
CHL,PIG,1997,10.5221356
CHL,PIG,1998,11.588026600000001
CHL,PIG,1999,12.319149900000001
CHL,PIG,2000,12.6227365
CHL,PIG,2001,13.634909200000001
CHL,PIG,2002,13.4100379
CHL,PIG,2003,14.219865200000001
CHL,PIG,2004,13.352234699999999
CHL,PIG,2005,13.8502995
CHL,PIG,2006,16.2526973
CHL,PIG,2007,16.7558499
CHL,PIG,2008,18.142816399999997
CHL,PIG,2009,17.2141977
CHL,PIG,2010,17.6929182
CHL,PIG,2011,18.6431285
CHL,PIG,2012,19.604563600000002
CHL,PIG,2013,19.6855228
CHL,PIG,2014,18.0191221
CHL,PIG,2015,17.621655399999998
CHL,PIG,2016,18.2624025
CHL,PIG,2017,19.4092707
CHL,PIG,2018,18.998276399999998
CHL,PIG,2019,19.266289399999998
CHL,PIG,2020,19.628916399999998
CHL,PIG,2021,19.833069199999997
CHL,PIG,2022,20.077275699999998
CHL,POULTRY,1990,7.8296825
CHL,POULTRY,1991,8.6468287
CHL,POULTRY,1992,12.875165800000001
CHL,POULTRY,1993,15.172905300000002
CHL,POULTRY,1994,16.684198300000002
CHL,POULTRY,1995,19.171563199999998
CHL,POULTRY,1996,20.056756399999998
CHL,POULTRY,1997,19.879246600000002
CHL,POULTRY,1998,21.3918397
CHL,POULTRY,1999,21.6656336
CHL,POULTRY,2000,23.3768568
CHL,POULTRY,2001,24.777198199999997
CHL,POULTRY,2002,23.51735
CHL,POULTRY,2003,23.5834638
CHL,POULTRY,2004,25.923180600000002
CHL,POULTRY,2005,25.7247658
CHL,POULTRY,2006,29.402784000000004
CHL,POULTRY,2007,30.374187699999997
CHL,POULTRY,2008,28.6484827
CHL,POULTRY,2009,27.4661691
CHL,POULTRY,2010,29.038414000000003
CHL,POULTRY,2011,31.5491925
CHL,POULTRY,2012,31.684384299999998
CHL,POULTRY,2013,32.2749162
CHL,POULTRY,2014,32.023951399999994
CHL,POULTRY,2015,33.923737200000005
CHL,POULTRY,2016,35.8905933
CHL,POULTRY,2017,35.9668391
CHL,POULTRY,2018,36.5379846
CHL,POULTRY,2019,36.815570799999996
CHL,POULTRY,2020,37.0755592
CHL,POULTRY,2021,37.371574100000004
CHL,POULTRY,2022,37.675103
CHL,SHEEP,1990,0.8138755999999999
CHL,SHEEP,1991,0.8771134
CHL,SHEEP,1992,0.9545444
CHL,SHEEP,1993,0.901516
CHL,SHEEP,1994,0.7864326
CHL,SHEEP,1995,0.7267628
CHL,SHEEP,1996,0.7082999
CHL,SHEEP,1997,0.7401844
CHL,SHEEP,1998,0.7674177
CHL,SHEEP,1999,0.7685271
CHL,SHEEP,2000,0.7298819000000001
CHL,SHEEP,2001,0.6230435000000001
CHL,SHEEP,2002,0.6123139
CHL,SHEEP,2003,0.5374338000000001
CHL,SHEEP,2004,0.5174685
CHL,SHEEP,2005,0.4906061
CHL,SHEEP,2006,0.5869492
CHL,SHEEP,2007,0.5915566999999999
CHL,SHEEP,2008,0.6522174
CHL,SHEEP,2009,0.5588734000000001
CHL,SHEEP,2010,0.4892694
CHL,SHEEP,2011,0.5369309
CHL,SHEEP,2012,0.5321816
CHL,SHEEP,2013,0.4313128
CHL,SHEEP,2014,0.4754822
CHL,SHEEP,2015,0.4603499
CHL,SHEEP,2016,0.419325
CHL,SHEEP,2017,0.4294105
CHL,SHEEP,2018,0.4179723
CHL,SHEEP,2019,0.41465420000000003
CHL,SHEEP,2020,0.4153098
CHL,SHEEP,2021,0.41719529999999994
CHL,SHEEP,2022,0.41574340000000004
