LOCATION,SUBJECT,TIME,VALUE
CHN,BEEF,1990,0.6417841
CHN,BEEF,1991,0.7527118
CHN,BEEF,1992,1.00312
CHN,BEEF,1993,1.2574515
CHN,BEEF,1994,1.524404
CHN,BEEF,1995,1.9552245
CHN,BEEF,1996,1.9469506999999997
CHN,BEEF,1997,2.4072343
CHN,BEEF,1998,2.6105777000000003
CHN,BEEF,1999,2.7516086
CHN,BEEF,2000,2.7160634999999997
CHN,BEEF,2001,2.7486033
CHN,BEEF,2002,2.8145507999999997
CHN,BEEF,2003,2.8968717999999996
CHN,BEEF,2004,2.9603231
CHN,BEEF,2005,2.9644357999999995
CHN,BEEF,2006,2.9802671000000003
CHN,BEEF,2007,3.1548230999999998
CHN,BEEF,2008,3.1532232999999996
CHN,BEEF,2009,3.2197735
CHN,BEEF,2010,3.2140895
CHN,BEEF,2011,3.0992289
CHN,BEEF,2012,3.1315595000000003
CHN,BEEF,2013,3.2594855
CHN,BEEF,2014,3.2531494
CHN,BEEF,2015,3.3612646
CHN,BEEF,2016,3.4195742
CHN,BEEF,2017,3.5627366
CHN,BEEF,2018,3.8035035
CHN,BEEF,2019,3.8070545
CHN,BEEF,2020,3.8494678999999996
CHN,BEEF,2021,3.8707895
CHN,BEEF,2022,3.8906867
CHN,PIG,1990,15.0152796
CHN,PIG,1991,15.900709900000003
CHN,PIG,1992,16.989494600000004
CHN,PIG,1993,18.1838035
CHN,PIG,1994,19.6905603
CHN,PIG,1995,19.9547828
CHN,PIG,1996,19.572201800000002
CHN,PIG,1997,22.164176
CHN,PIG,1998,23.7928241
CHN,PIG,1999,23.7531112
CHN,PIG,2000,24.1234409
CHN,PIG,2001,24.4213233
CHN,PIG,2002,24.695120199999998
CHN,PIG,2003,25.170281
CHN,PIG,2004,25.496686999999998
CHN,PIG,2005,26.6077994
CHN,PIG,2006,27.0790974
CHN,PIG,2007,24.9443081
CHN,PIG,2008,26.9980346
CHN,PIG,2009,28.4168915
CHN,PIG,2010,29.506712300000004
CHN,PIG,2011,29.506643800000003
CHN,PIG,2012,31.0772261
CHN,PIG,2013,31.976723600000003
CHN,PIG,2014,32.9255032
CHN,PIG,2015,32.103175199999995
CHN,PIG,2016,31.202214299999998
CHN,PIG,2017,30.9214088
CHN,PIG,2018,30.437704200000002
CHN,PIG,2019,29.250486
CHN,PIG,2020,30.4791219
CHN,PIG,2021,30.719513899999995
CHN,PIG,2022,30.8850939
CHN,POULTRY,1990,1e-07
CHN,POULTRY,1991,2.9071469
CHN,POULTRY,1992,3.2742239
CHN,POULTRY,1993,4.1371677
CHN,POULTRY,1994,4.7016224
CHN,POULTRY,1995,5.9476543
CHN,POULTRY,1996,5.9250443
CHN,POULTRY,1997,6.7632768
CHN,POULTRY,1998,7.4683532999999995
CHN,POULTRY,1999,7.776438199999999
CHN,POULTRY,2000,8.3978076
CHN,POULTRY,2001,8.1406279
CHN,POULTRY,2002,8.1728656
CHN,POULTRY,2003,8.4943437
CHN,POULTRY,2004,8.338817299999999
CHN,POULTRY,2005,8.918994900000001
CHN,POULTRY,2006,9.1578169
CHN,POULTRY,2007,9.824008599999999
CHN,POULTRY,2008,10.421967
CHN,POULTRY,2009,10.7029008
CHN,POULTRY,2010,10.8435241
CHN,POULTRY,2011,10.9967025
CHN,POULTRY,2012,11.5949382
CHN,POULTRY,2013,11.7126486
CHN,POULTRY,2014,11.092055499999999
CHN,POULTRY,2015,10.8728398
CHN,POULTRY,2016,11.595591
CHN,POULTRY,2017,11.406541699999998
CHN,POULTRY,2018,11.5549102
CHN,POULTRY,2019,12.1347009
CHN,POULTRY,2020,12.2374419
CHN,POULTRY,2021,12.334894300000002
CHN,POULTRY,2022,12.446387199999998
CHN,SHEEP,1990,0.7993670999999999
CHN,SHEEP,1991,0.8715407
CHN,SHEEP,1992,0.9124489
CHN,SHEEP,1993,0.9913874
CHN,SHEEP,1994,1.0590859
CHN,SHEEP,1995,1.2385536
CHN,SHEEP,1996,1.275874
CHN,SHEEP,1997,1.4892413999999998
CHN,SHEEP,1998,1.63327
CHN,SHEEP,1999,1.7387278000000002
CHN,SHEEP,2000,1.8265412
CHN,SHEEP,2001,1.8436925
CHN,SHEEP,2002,1.9177438000000002
CHN,SHEEP,2003,2.0666304
CHN,SHEEP,2004,2.2040425999999997
CHN,SHEEP,2005,2.3047115000000002
CHN,SHEEP,2006,2.379737
CHN,SHEEP,2007,2.5026427000000004
CHN,SHEEP,2008,2.4822959
CHN,SHEEP,2009,2.5378957000000004
CHN,SHEEP,2010,2.61248
CHN,SHEEP,2011,2.5776657000000003
CHN,SHEEP,2012,2.6421118
CHN,SHEEP,2013,2.759978
CHN,SHEEP,2014,2.8870244
CHN,SHEEP,2015,2.9163492000000004
CHN,SHEEP,2016,3.0177235000000002
CHN,SHEEP,2017,3.0738962000000005
CHN,SHEEP,2018,3.139997
CHN,SHEEP,2019,3.1768517999999997
CHN,SHEEP,2020,3.2227528999999997
CHN,SHEEP,2021,3.2609182999999997
CHN,SHEEP,2022,3.3020329
