LOCATION,SUBJECT,TIME,VALUE
COL,BEEF,1990,15.011017
COL,BEEF,1991,13.5589473
COL,BEEF,1992,11.556021300000001
COL,BEEF,1993,11.627315600000001
COL,BEEF,1994,12.319104199999998
COL,BEEF,1995,13.129170000000002
COL,BEEF,1996,13.4614424
COL,BEEF,1997,13.854601500000001
COL,BEEF,1998,13.6560105
COL,BEEF,1999,12.6016727
COL,BEEF,2000,12.9228669
COL,BEEF,2001,11.9279677
COL,BEEF,2002,11.3655721
COL,BEEF,2003,10.601429699999999
COL,BEEF,2004,11.548483000000001
COL,BEEF,2005,12.660024900000002
COL,BEEF,2006,12.8536008
COL,BEEF,2007,12.2416253
COL,BEEF,2008,11.911518800000001
COL,BEEF,2009,10.8925908
COL,BEEF,2010,11.6825744
COL,BEEF,2011,12.323471699999999
COL,BEEF,2012,12.6400536
COL,BEEF,2013,12.1234039
COL,BEEF,2014,12.1854456
COL,BEEF,2015,12.2947466
COL,BEEF,2016,11.3511467
COL,BEEF,2017,10.5044213
COL,BEEF,2018,10.754342800000002
COL,BEEF,2019,10.6763078
COL,BEEF,2020,10.8864268
COL,BEEF,2021,11.1495773
COL,BEEF,2022,11.1607539
COL,PIG,1990,3.0470297000000004
COL,PIG,1991,2.9890282000000004
COL,PIG,1992,2.9698373
COL,PIG,1993,2.9108464
COL,PIG,1994,2.8841997000000004
COL,PIG,1995,2.895474
COL,PIG,1996,2.7193084
COL,PIG,1997,2.1731808
COL,PIG,1998,1.6377329
COL,PIG,1999,2.2230227000000005
COL,PIG,2000,2.1299076
COL,PIG,2001,1.9763336
COL,PIG,2002,2.127096
COL,PIG,2003,2.3435832999999997
COL,PIG,2004,2.4084917000000003
COL,PIG,2005,2.3596993
COL,PIG,2006,2.7112644
COL,PIG,2007,3.2588953999999997
COL,PIG,2008,3.1535429
COL,PIG,2009,3.1018361
COL,PIG,2010,3.5210865
COL,PIG,2011,3.9944921
COL,PIG,2012,6.1000817000000005
COL,PIG,2013,5.017867
COL,PIG,2014,5.4540058
COL,PIG,2015,5.983037400000001
COL,PIG,2016,6.659739599999999
COL,PIG,2017,7.203493300000001
COL,PIG,2018,7.9654667
COL,PIG,2019,8.0417895
COL,PIG,2020,8.3042673
COL,PIG,2021,8.4332095
COL,PIG,2022,8.6144304
COL,POULTRY,1990,7.6662577
COL,POULTRY,1991,9.7871295
COL,POULTRY,1992,10.294379300000001
COL,POULTRY,1993,11.0862491
COL,POULTRY,1994,12.2293462
COL,POULTRY,1995,13.397201500000001
COL,POULTRY,1996,11.311052
COL,POULTRY,1997,10.4674163
COL,POULTRY,1998,11.9126856
COL,POULTRY,1999,11.541228599999998
COL,POULTRY,2000,11.6969538
COL,POULTRY,2001,13.609341
COL,POULTRY,2002,14.483379300000001
COL,POULTRY,2003,14.821222500000001
COL,POULTRY,2004,15.0124054
COL,POULTRY,2005,16.1506368
COL,POULTRY,2006,17.781009100000002
COL,POULTRY,2007,19.1326865
COL,POULTRY,2008,20.5986612
COL,POULTRY,2009,20.5719736
COL,POULTRY,2010,21.3921509
COL,POULTRY,2011,21.3668318
COL,POULTRY,2012,21.956025399999998
COL,POULTRY,2013,24.7435268
COL,POULTRY,2014,26.051215399999997
COL,POULTRY,2015,27.0721291
COL,POULTRY,2016,28.299736300000003
COL,POULTRY,2017,29.5088391
COL,POULTRY,2018,30.6529827
COL,POULTRY,2019,31.1245321
COL,POULTRY,2020,31.6666554
COL,POULTRY,2021,32.2861551
COL,POULTRY,2022,32.763004200000005
COL,SHEEP,1990,0.3131368
COL,SHEEP,1991,0.2906915
COL,SHEEP,1992,0.30462340000000004
COL,SHEEP,1993,0.31913009999999997
COL,SHEEP,1994,0.31346929999999995
COL,SHEEP,1995,0.3120991
COL,SHEEP,1996,0.27871840000000003
COL,SHEEP,1997,0.29716570000000003
COL,SHEEP,1998,0.2714663
COL,SHEEP,1999,0.2603163
COL,SHEEP,2000,0.2902431
COL,SHEEP,2001,0.2790376
COL,SHEEP,2002,0.2579746
COL,SHEEP,2003,0.2570993
COL,SHEEP,2004,0.24889920000000001
COL,SHEEP,2005,0.2419705
COL,SHEEP,2006,0.2342165
COL,SHEEP,2007,0.2293099
COL,SHEEP,2008,0.22171910000000003
COL,SHEEP,2009,0.2317431
COL,SHEEP,2010,0.20833979999999996
COL,SHEEP,2011,0.20362449999999999
COL,SHEEP,2012,0.14665770000000003
COL,SHEEP,2013,0.13565529999999998
COL,SHEEP,2014,0.1491116
COL,SHEEP,2015,0.1532351
COL,SHEEP,2016,0.1408824
COL,SHEEP,2017,0.1409005
COL,SHEEP,2018,0.14246789999999998
COL,SHEEP,2019,0.1439456
COL,SHEEP,2020,0.14373039999999998
COL,SHEEP,2021,0.1441387
COL,SHEEP,2022,0.14389100000000002
