LOCATION,SUBJECT,TIME,VALUE
EGY,BEEF,1990,4.906737799999999
EGY,BEEF,1991,5.5621714
EGY,BEEF,1992,5.4407486
EGY,BEEF,1993,6.0532083
EGY,BEEF,1994,6.2285657
EGY,BEEF,1995,5.9826607
EGY,BEEF,1996,6.1798858
EGY,BEEF,1997,6.7445645
EGY,BEEF,1998,6.7970542
EGY,BEEF,1999,7.0391631
EGY,BEEF,2000,7.6995322
EGY,BEEF,2001,6.4305585
EGY,BEEF,2002,7.8677224
EGY,BEEF,2003,7.3331835000000005
EGY,BEEF,2004,7.463495599999999
EGY,BEEF,2005,8.261148599999999
EGY,BEEF,2006,9.121248300000001
EGY,BEEF,2007,9.2889099
EGY,BEEF,2008,8.393398
EGY,BEEF,2009,8.5490215
EGY,BEEF,2010,9.2826679
EGY,BEEF,2011,8.6937257
EGY,BEEF,2012,8.7615857
EGY,BEEF,2013,7.9437663
EGY,BEEF,2014,8.159572200000001
EGY,BEEF,2015,8.9352365
EGY,BEEF,2016,8.5293131
EGY,BEEF,2017,7.6318929
EGY,BEEF,2018,7.855438499999999
EGY,BEEF,2019,8.217579400000002
EGY,BEEF,2020,8.3003836
EGY,BEEF,2021,8.3486062
EGY,BEEF,2022,8.4011482
EGY,PIG,1990,0.0330017
EGY,PIG,1991,0.032979
EGY,PIG,1992,0.0375101
EGY,PIG,1993,0.0370056
EGY,PIG,1994,0.0349476
EGY,PIG,1995,0.034169
EGY,PIG,1996,0.0341762
EGY,PIG,1997,0.0346083
EGY,PIG,1998,0.0952408
EGY,PIG,1999,0.0346329
EGY,PIG,2000,0.0345681
EGY,PIG,2001,0.0328538
EGY,PIG,2002,0.0300019
EGY,PIG,2003,0.0278454
EGY,PIG,2004,0.0326675
EGY,PIG,2005,0.0218533
EGY,PIG,2006,0.029061700000000003
EGY,PIG,2007,0.0380511
EGY,PIG,2008,0.020764599999999998
EGY,PIG,2009,0.0081069
EGY,PIG,2010,0.0039145000000000004
EGY,PIG,2011,0.007338
EGY,PIG,2012,0.0075421
EGY,PIG,2013,0.0074268
EGY,PIG,2014,0.0043761
EGY,PIG,2015,0.0074533
EGY,PIG,2016,0.0073045
EGY,PIG,2017,0.0074208
EGY,PIG,2018,0.007284699999999999
EGY,PIG,2019,0.0071406
EGY,PIG,2020,0.007192699999999999
EGY,PIG,2021,0.0071798999999999995
EGY,PIG,2022,0.007189
EGY,POULTRY,1990,4.1697315
EGY,POULTRY,1991,4.5578711
EGY,POULTRY,1992,4.6542048
EGY,POULTRY,1993,4.7446019999999995
EGY,POULTRY,1994,5.0494332
EGY,POULTRY,1995,5.6202191
EGY,POULTRY,1996,5.729129599999999
EGY,POULTRY,1997,7.2008341
EGY,POULTRY,1998,6.9821895000000005
EGY,POULTRY,1999,7.5663556
EGY,POULTRY,2000,7.4942784
EGY,POULTRY,2001,7.681781299999999
EGY,POULTRY,2002,9.0124644
EGY,POULTRY,2003,8.1725334
EGY,POULTRY,2004,7.5913914
EGY,POULTRY,2005,7.618419599999999
EGY,POULTRY,2006,8.1848782
EGY,POULTRY,2007,9.074294199999999
EGY,POULTRY,2008,8.2411235
EGY,POULTRY,2009,8.9240299
EGY,POULTRY,2010,9.2401171
EGY,POULTRY,2011,9.5729004
EGY,POULTRY,2012,9.977474
EGY,POULTRY,2013,11.3747565
EGY,POULTRY,2014,11.9475962
EGY,POULTRY,2015,11.68107
EGY,POULTRY,2016,11.6265626
EGY,POULTRY,2017,12.1551288
EGY,POULTRY,2018,11.260462
EGY,POULTRY,2019,12.08949
EGY,POULTRY,2020,12.2784034
EGY,POULTRY,2021,12.4725724
EGY,POULTRY,2022,12.6638128
EGY,SHEEP,1990,1.2588848
EGY,SHEEP,1991,1.1045775
EGY,SHEEP,1992,1.1168813
EGY,SHEEP,1993,1.157928
EGY,SHEEP,1994,1.2341973999999998
EGY,SHEEP,1995,1.2547749
EGY,SHEEP,1996,1.2253493
EGY,SHEEP,1997,1.2476646
EGY,SHEEP,1998,1.2527771
EGY,SHEEP,1999,1.0423705
EGY,SHEEP,2000,1.5859931
EGY,SHEEP,2001,1.5928288000000002
EGY,SHEEP,2002,1.6616334
EGY,SHEEP,2003,1.6634764
EGY,SHEEP,2004,1.6053363
EGY,SHEEP,2005,1.5901254999999999
EGY,SHEEP,2006,1.5949643
EGY,SHEEP,2007,1.6545002
EGY,SHEEP,2008,1.6460167
EGY,SHEEP,2009,1.5519549
EGY,SHEEP,2010,1.3706886999999999
EGY,SHEEP,2011,1.3051631000000001
EGY,SHEEP,2012,1.3133781
EGY,SHEEP,2013,1.2736906000000001
EGY,SHEEP,2014,1.2587464
EGY,SHEEP,2015,1.2023908
EGY,SHEEP,2016,1.2003177
EGY,SHEEP,2017,1.1327783
EGY,SHEEP,2018,1.098215
EGY,SHEEP,2019,1.0896649999999999
EGY,SHEEP,2020,1.0882056
EGY,SHEEP,2021,1.0987426000000002
EGY,SHEEP,2022,1.1113248
