LOCATION,SUBJECT,TIME,VALUE
GBR,BEEF,1990,1.2e-06
GBR,BEEF,1991,1.2e-06
GBR,BEEF,1992,1.2e-06
GBR,BEEF,1993,1.2e-06
GBR,BEEF,1994,1.2e-06
GBR,BEEF,1995,1.2e-06
GBR,BEEF,1996,1.2e-06
GBR,BEEF,1997,1.2e-06
GBR,BEEF,1998,1.2e-06
GBR,BEEF,1999,1.2e-06
GBR,BEEF,2000,1.2e-06
GBR,BEEF,2001,10.6491856
GBR,BEEF,2002,11.5946905
GBR,BEEF,2003,11.7451679
GBR,BEEF,2004,12.0859529
GBR,BEEF,2005,12.0460177
GBR,BEEF,2006,12.3118071
GBR,BEEF,2007,12.4291259
GBR,BEEF,2008,11.961829
GBR,BEEF,2009,11.4081017
GBR,BEEF,2010,11.8925899
GBR,BEEF,2011,11.6541235
GBR,BEEF,2012,11.329624
GBR,BEEF,2013,11.082574000000001
GBR,BEEF,2014,11.419630300000001
GBR,BEEF,2015,11.709496099999999
GBR,BEEF,2016,11.749772199999999
GBR,BEEF,2017,11.757089599999999
GBR,BEEF,2018,11.6733929
GBR,BEEF,2019,11.6668056
GBR,BEEF,2020,11.6622103
GBR,BEEF,2021,11.700987699999999
GBR,BEEF,2022,11.734597599999999
GBR,PIG,1990,1.4e-06
GBR,PIG,1991,1.4e-06
GBR,PIG,1992,1.4e-06
GBR,PIG,1993,1.4e-06
GBR,PIG,1994,1.3e-06
GBR,PIG,1995,1.3e-06
GBR,PIG,1996,1.3e-06
GBR,PIG,1997,1.3e-06
GBR,PIG,1998,1.3e-06
GBR,PIG,1999,1.3e-06
GBR,PIG,2000,17.104926100000004
GBR,PIG,2001,17.5553923
GBR,PIG,2002,17.6873931
GBR,PIG,2003,18.363126
GBR,PIG,2004,17.963207
GBR,PIG,2005,18.082922399999998
GBR,PIG,2006,17.8487131
GBR,PIG,2007,18.428121
GBR,PIG,2008,17.1420127
GBR,PIG,2009,16.9379195
GBR,PIG,2010,16.6783015
GBR,PIG,2011,16.470156699999997
GBR,PIG,2012,16.1137591
GBR,PIG,2013,15.7500766
GBR,PIG,2014,16.1369018
GBR,PIG,2015,16.498990099999997
GBR,PIG,2016,17.1920687
GBR,PIG,2017,16.736205599999998
GBR,PIG,2018,17.363122
GBR,PIG,2019,17.03142
GBR,PIG,2020,17.184202600000003
GBR,PIG,2021,16.9326068
GBR,PIG,2022,16.7269506
GBR,POULTRY,1990,1.5e-06
GBR,POULTRY,1991,1.5e-06
GBR,POULTRY,1992,1.5e-06
GBR,POULTRY,1993,1.5e-06
GBR,POULTRY,1994,1.5e-06
GBR,POULTRY,1995,1.5e-06
GBR,POULTRY,1996,1.5e-06
GBR,POULTRY,1997,1.5e-06
GBR,POULTRY,1998,1.5e-06
GBR,POULTRY,1999,1.5e-06
GBR,POULTRY,2000,25.4326961
GBR,POULTRY,2001,25.765161199999998
GBR,POULTRY,2002,25.3599348
GBR,POULTRY,2003,25.2505788
GBR,POULTRY,2004,25.7434749
GBR,POULTRY,2005,26.1228522
GBR,POULTRY,2006,24.972566699999998
GBR,POULTRY,2007,23.3706082
GBR,POULTRY,2008,22.577753100000002
GBR,POULTRY,2009,22.823659399999997
GBR,POULTRY,2010,24.6934226
GBR,POULTRY,2011,24.6102831
GBR,POULTRY,2012,24.7452003
GBR,POULTRY,2013,24.9342069
GBR,POULTRY,2014,24.6024496
GBR,POULTRY,2015,26.6775126
GBR,POULTRY,2016,27.7799473
GBR,POULTRY,2017,26.9002401
GBR,POULTRY,2018,27.7926609
GBR,POULTRY,2019,28.316329800000002
GBR,POULTRY,2020,28.0483369
GBR,POULTRY,2021,28.1918542
GBR,POULTRY,2022,28.2825234
GBR,SHEEP,1990,1.5e-06
GBR,SHEEP,1991,1.5e-06
GBR,SHEEP,1992,1.5e-06
GBR,SHEEP,1993,1.5e-06
GBR,SHEEP,1994,1.5e-06
GBR,SHEEP,1995,1.5e-06
GBR,SHEEP,1996,1.5e-06
GBR,SHEEP,1997,1.5e-06
GBR,SHEEP,1998,1.5e-06
GBR,SHEEP,1999,1.5e-06
GBR,SHEEP,2000,5.8496246
GBR,SHEEP,2001,5.0827179000000005
GBR,SHEEP,2002,5.3427101
GBR,SHEEP,2003,5.3397051
GBR,SHEEP,2004,5.5132181
GBR,SHEEP,2005,5.4854305
GBR,SHEEP,2006,5.4767725
GBR,SHEEP,2007,5.5902370999999995
GBR,SHEEP,2008,5.2780486
GBR,SHEEP,2009,4.9153198
GBR,SHEEP,2010,4.3521056
GBR,SHEEP,2011,4.1232114
GBR,SHEEP,2012,3.8800443
GBR,SHEEP,2013,4.0937827
GBR,SHEEP,2014,4.0909496
GBR,SHEEP,2015,4.488025700000001
GBR,SHEEP,2016,4.335483900000001
GBR,SHEEP,2017,4.045485299999999
GBR,SHEEP,2018,4.0919244
GBR,SHEEP,2019,4.1215557
GBR,SHEEP,2020,4.1168814
GBR,SHEEP,2021,4.1430824
GBR,SHEEP,2022,4.1568508
