LOCATION,SUBJECT,TIME,VALUE
ETH,BEEF,1990,2.6694699
ETH,BEEF,1991,2.8694699
ETH,BEEF,1992,2.7043301
ETH,BEEF,1993,3.0074944
ETH,BEEF,1994,2.9043301
ETH,BEEF,1995,2.8694699
ETH,BEEF,1996,3.1586257
ETH,BEEF,1997,3.0993865
ETH,BEEF,1998,3.0539242000000004
ETH,BEEF,1999,3.1406204
ETH,BEEF,2000,3.0933491
ETH,BEEF,2001,3.1018522999999996
ETH,BEEF,2002,3.5001105000000003
ETH,BEEF,2003,3.2642648999999997
ETH,BEEF,2004,3.1520097999999996
ETH,BEEF,2005,3.1955272
ETH,BEEF,2006,3.3200049
ETH,BEEF,2007,3.1372036
ETH,BEEF,2008,3.1981094
ETH,BEEF,2009,2.9072265
ETH,BEEF,2010,3.3451565999999997
ETH,BEEF,2011,3.1854925
ETH,BEEF,2012,2.556627
ETH,BEEF,2013,2.5127725
ETH,BEEF,2014,2.7356557
ETH,BEEF,2015,2.7375016
ETH,BEEF,2016,2.657532
ETH,BEEF,2017,2.6195092
ETH,BEEF,2018,2.568623
ETH,BEEF,2019,2.5436718999999997
ETH,BEEF,2020,2.5460401000000004
ETH,BEEF,2021,2.5331797000000003
ETH,BEEF,2022,2.5258492
ETH,PIG,1990,0.015757499999999997
ETH,PIG,1991,0.0166575
ETH,PIG,1992,0.016789500000000002
ETH,PIG,1993,0.016757499999999998
ETH,PIG,1994,0.016253999999999998
ETH,PIG,1995,0.016496900000000002
ETH,PIG,1996,0.0167076
ETH,PIG,1997,0.0169121
ETH,PIG,1998,0.0173541
ETH,PIG,1999,0.017558400000000002
ETH,PIG,2000,0.017175
ETH,PIG,2001,0.017504699999999998
ETH,PIG,2002,0.0168741
ETH,PIG,2003,0.018075099999999997
ETH,PIG,2004,0.0174356
ETH,PIG,2005,0.017638900000000002
ETH,PIG,2006,0.0174804
ETH,PIG,2007,0.0166601
ETH,PIG,2008,0.016213299999999996
ETH,PIG,2009,0.0153879
ETH,PIG,2010,0.0161696
ETH,PIG,2011,0.016406999999999998
ETH,PIG,2012,0.0163696
ETH,PIG,2013,0.0159645
ETH,PIG,2014,0.0158785
ETH,PIG,2015,0.0158627
ETH,PIG,2016,0.0156003
ETH,PIG,2017,0.015220600000000003
ETH,PIG,2018,0.014855799999999999
ETH,PIG,2019,0.014618
ETH,PIG,2020,0.0148011
ETH,PIG,2021,0.0147239
ETH,PIG,2022,0.014766
ETH,POULTRY,1990,0.4917903
ETH,POULTRY,1991,0.49982709999999997
ETH,POULTRY,1992,0.5712319
ETH,POULTRY,1993,0.5917866999999999
ETH,POULTRY,1994,0.5710613
ETH,POULTRY,1995,0.5523252
ETH,POULTRY,1996,0.5380713
ETH,POULTRY,1997,0.5238758
ETH,POULTRY,1998,0.5179885000000001
ETH,POULTRY,1999,0.5069948000000001
ETH,POULTRY,2000,0.4973125
ETH,POULTRY,2001,0.6404054
ETH,POULTRY,2002,0.6748071
ETH,POULTRY,2003,0.6094436
ETH,POULTRY,2004,0.5555405999999999
ETH,POULTRY,2005,0.4883721
ETH,POULTRY,2006,0.5045486
ETH,POULTRY,2007,0.5024895
ETH,POULTRY,2008,0.5141646
ETH,POULTRY,2009,0.5194217000000001
ETH,POULTRY,2010,0.594309
ETH,POULTRY,2011,0.5271600000000001
ETH,POULTRY,2012,0.575916
ETH,POULTRY,2013,0.5737072
ETH,POULTRY,2014,0.371164
ETH,POULTRY,2015,0.10835209999999999
ETH,POULTRY,2016,0.1128848
ETH,POULTRY,2017,0.1148748
ETH,POULTRY,2018,0.11477290000000001
ETH,POULTRY,2019,0.1141767
ETH,POULTRY,2020,0.11330029999999999
ETH,POULTRY,2021,0.1121525
ETH,POULTRY,2022,0.11096680000000002
ETH,SHEEP,1990,0.9579127000000001
ETH,SHEEP,1991,0.8991720999999999
ETH,SHEEP,1992,0.9719237
ETH,SHEEP,1993,0.9962880999999999
ETH,SHEEP,1994,0.9607427
ETH,SHEEP,1995,0.9237808000000001
ETH,SHEEP,1996,0.9008705
ETH,SHEEP,1997,0.8556341000000001
ETH,SHEEP,1998,0.8644296
ETH,SHEEP,1999,0.8358235999999999
ETH,SHEEP,2000,0.7988046999999999
ETH,SHEEP,2001,0.8497020000000001
ETH,SHEEP,2002,0.9909581000000001
ETH,SHEEP,2003,1.0343585
ETH,SHEEP,2004,1.1960441000000002
ETH,SHEEP,2005,1.2553188999999998
ETH,SHEEP,2006,1.4308564
ETH,SHEEP,2007,1.5758341
ETH,SHEEP,2008,1.4618811
ETH,SHEEP,2009,1.4863823999999999
ETH,SHEEP,2010,1.4309961000000002
ETH,SHEEP,2011,1.3515166
ETH,SHEEP,2012,1.3692701999999999
ETH,SHEEP,2013,1.3738409
ETH,SHEEP,2014,0.9192459000000001
ETH,SHEEP,2015,0.33969859999999996
ETH,SHEEP,2016,0.3899988
ETH,SHEEP,2017,0.4690214
ETH,SHEEP,2018,0.47628240000000005
ETH,SHEEP,2019,0.35468330000000003
ETH,SHEEP,2020,0.3593547
ETH,SHEEP,2021,0.359041
ETH,SHEEP,2022,0.359567
