LOCATION,SUBJECT,TIME,VALUE
EU27,BEEF,1990,2e-07
EU27,BEEF,1991,2e-07
EU27,BEEF,1992,2e-07
EU27,BEEF,1993,2e-07
EU27,BEEF,1994,2e-07
EU27,BEEF,1995,2e-07
EU27,BEEF,1996,2e-07
EU27,BEEF,1997,2e-07
EU27,BEEF,1998,2e-07
EU27,BEEF,1999,2e-07
EU27,BEEF,2000,11.946388800000001
EU27,BEEF,2001,11.742812800000001
EU27,BEEF,2002,11.974151800000001
EU27,BEEF,2003,11.839006
EU27,BEEF,2004,12.0674838
EU27,BEEF,2005,12.0427554
EU27,BEEF,2006,12.0876379
EU27,BEEF,2007,12.112011099999998
EU27,BEEF,2008,11.629077800000001
EU27,BEEF,2009,11.5837608
EU27,BEEF,2010,11.2361215
EU27,BEEF,2011,10.935970900000001
EU27,BEEF,2012,10.5895429
EU27,BEEF,2013,10.3071868
EU27,BEEF,2014,10.4101034
EU27,BEEF,2015,10.4532951
EU27,BEEF,2016,10.6685651
EU27,BEEF,2017,10.5570423
EU27,BEEF,2018,10.7825106
EU27,BEEF,2019,10.7467556
EU27,BEEF,2020,10.6209874
EU27,BEEF,2021,10.530205300000002
EU27,BEEF,2022,10.4837118
EU27,PIG,1990,2e-07
EU27,PIG,1991,2e-07
EU27,PIG,1992,2e-07
EU27,PIG,1993,2e-07
EU27,PIG,1994,2e-07
EU27,PIG,1995,2e-07
EU27,PIG,1996,2e-07
EU27,PIG,1997,2e-07
EU27,PIG,1998,2e-07
EU27,PIG,1999,2e-07
EU27,PIG,2000,34.4900824
EU27,PIG,2001,35.15872279999999
EU27,PIG,2002,35.630312100000005
EU27,PIG,2003,35.200362299999995
EU27,PIG,2004,34.552311700000004
EU27,PIG,2005,34.4931301
EU27,PIG,2006,34.7621411
EU27,PIG,2007,36.0157006
EU27,PIG,2008,35.0856184
EU27,PIG,2009,34.3837732
EU27,PIG,2010,34.837669
EU27,PIG,2011,34.7650056
EU27,PIG,2012,33.9142179
EU27,PIG,2013,33.5796479
EU27,PIG,2014,34.3577087
EU27,PIG,2015,35.0341575
EU27,PIG,2016,34.6481954
EU27,PIG,2017,34.7559256
EU27,PIG,2018,35.4599718
EU27,PIG,2019,34.5784904
EU27,PIG,2020,35.231554700000004
EU27,PIG,2021,35.3140461
EU27,PIG,2022,35.209329499999996
EU27,POULTRY,1990,2e-07
EU27,POULTRY,1991,2e-07
EU27,POULTRY,1992,2e-07
EU27,POULTRY,1993,2e-07
EU27,POULTRY,1994,2e-07
EU27,POULTRY,1995,2e-07
EU27,POULTRY,1996,2e-07
EU27,POULTRY,1997,2e-07
EU27,POULTRY,1998,2e-07
EU27,POULTRY,1999,2e-07
EU27,POULTRY,2000,16.441638
EU27,POULTRY,2001,17.7928153
EU27,POULTRY,2002,18.5970835
EU27,POULTRY,2003,17.8391307
EU27,POULTRY,2004,18.1783464
EU27,POULTRY,2005,18.5976693
EU27,POULTRY,2006,18.113299800000004
EU27,POULTRY,2007,19.1346643
EU27,POULTRY,2008,19.5321193
EU27,POULTRY,2009,19.5337717
EU27,POULTRY,2010,19.5321041
EU27,POULTRY,2011,19.723704
EU27,POULTRY,2012,20.381686300000002
EU27,POULTRY,2013,20.4506044
EU27,POULTRY,2014,21.1997343
EU27,POULTRY,2015,22.098540600000003
EU27,POULTRY,2016,23.2077335
EU27,POULTRY,2017,23.068158899999997
EU27,POULTRY,2018,23.5545635
EU27,POULTRY,2019,23.1478939
EU27,POULTRY,2020,23.189621600000002
EU27,POULTRY,2021,23.3065363
EU27,POULTRY,2022,23.4390396
EU27,SHEEP,1990,2e-07
EU27,SHEEP,1991,2e-07
EU27,SHEEP,1992,2e-07
EU27,SHEEP,1993,2e-07
EU27,SHEEP,1994,2e-07
EU27,SHEEP,1995,2e-07
EU27,SHEEP,1996,2e-07
EU27,SHEEP,1997,2e-07
EU27,SHEEP,1998,2e-07
EU27,SHEEP,1999,2e-07
EU27,SHEEP,2000,2.3237718
EU27,SHEEP,2001,2.1709562
EU27,SHEEP,2002,2.1601426
EU27,SHEEP,2003,2.165152
EU27,SHEEP,2004,2.129956
EU27,SHEEP,2005,2.1476431000000002
EU27,SHEEP,2006,2.0947658
EU27,SHEEP,2007,2.0184824
EU27,SHEEP,2008,1.8793138999999999
EU27,SHEEP,2009,1.8184784999999999
EU27,SHEEP,2010,1.7055453999999999
EU27,SHEEP,2011,1.6959788
EU27,SHEEP,2012,1.5572933999999998
EU27,SHEEP,2013,1.4778828000000002
EU27,SHEEP,2014,1.4476318000000001
EU27,SHEEP,2015,1.4418495
EU27,SHEEP,2016,1.4405801999999999
EU27,SHEEP,2017,1.4098598999999998
EU27,SHEEP,2018,1.400575
EU27,SHEEP,2019,1.39257
EU27,SHEEP,2020,1.4047049999999999
EU27,SHEEP,2021,1.4141877
EU27,SHEEP,2022,1.4247662
