LOCATION,SUBJECT,TIME,VALUE
IDN,BEEF,1990,1.1800171999999998
IDN,BEEF,1991,1.1884337999999999
IDN,BEEF,1992,1.2916291000000002
IDN,BEEF,1993,1.4747495000000002
IDN,BEEF,1994,1.413389
IDN,BEEF,1995,1.3136093999999998
IDN,BEEF,1996,1.4604373
IDN,BEEF,1997,1.4916996
IDN,BEEF,1998,1.3634918
IDN,BEEF,1999,1.2893925
IDN,BEEF,2000,1.4412979
IDN,BEEF,2001,1.3328416
IDN,BEEF,2002,1.3043882
IDN,BEEF,2003,1.3382053
IDN,BEEF,2004,1.5791482
IDN,BEEF,2005,1.3122212
IDN,BEEF,2006,1.4430033000000002
IDN,BEEF,2007,1.3030343999999998
IDN,BEEF,2008,1.4535599
IDN,BEEF,2009,1.5570978000000002
IDN,BEEF,2010,1.7017779
IDN,BEEF,2011,1.7207854
IDN,BEEF,2012,1.6612102999999998
IDN,BEEF,2013,1.6865928
IDN,BEEF,2014,1.7373743000000001
IDN,BEEF,2015,1.6712014
IDN,BEEF,2016,1.9012898
IDN,BEEF,2017,1.8902636000000002
IDN,BEEF,2018,1.9824964
IDN,BEEF,2019,1.9839057
IDN,BEEF,2020,2.0147616999999998
IDN,BEEF,2021,2.0305676999999998
IDN,BEEF,2022,2.0449992
IDN,PIG,1990,2.3510167
IDN,PIG,1991,2.4285986
IDN,PIG,1992,2.4353067000000004
IDN,PIG,1993,2.5444096000000003
IDN,PIG,1994,2.6567705000000004
IDN,PIG,1995,2.2675099999999997
IDN,PIG,1996,2.3409777999999997
IDN,PIG,1997,2.4381167
IDN,PIG,1998,2.3576785
IDN,PIG,1999,2.0566796000000003
IDN,PIG,2000,1.5256285
IDN,PIG,2001,1.5219833
IDN,PIG,2002,1.668561
IDN,PIG,2003,1.7222196
IDN,PIG,2004,0.6775512
IDN,PIG,2005,0.6073305999999999
IDN,PIG,2006,0.6775068000000001
IDN,PIG,2007,0.7724774
IDN,PIG,2008,0.6969721999999999
IDN,PIG,2009,0.6526843000000001
IDN,PIG,2010,0.6832026999999999
IDN,PIG,2011,0.7155943
IDN,PIG,2012,0.7303664000000001
IDN,PIG,2013,0.9305821
IDN,PIG,2014,0.9326515
IDN,PIG,2015,1.0144090000000001
IDN,PIG,2016,1.0339274999999999
IDN,PIG,2017,1.0193814
IDN,PIG,2018,1.0204455
IDN,PIG,2019,1.0055665
IDN,PIG,2020,1.008869
IDN,PIG,2021,1.011134
IDN,PIG,2022,1.0162008
IDN,POULTRY,1990,2.4682729
IDN,POULTRY,1991,2.7826428
IDN,POULTRY,1992,2.5665823
IDN,POULTRY,1993,3.2215886
IDN,POULTRY,1994,3.7043031
IDN,POULTRY,1995,3.9175712
IDN,POULTRY,1996,4.178294999999999
IDN,POULTRY,1997,3.9025169
IDN,POULTRY,1998,2.645131
IDN,POULTRY,1999,2.642035
IDN,POULTRY,2000,3.4597198
IDN,POULTRY,2001,3.7883822
IDN,POULTRY,2002,4.4613628
IDN,POULTRY,2003,4.5314499
IDN,POULTRY,2004,4.779031400000001
IDN,POULTRY,2005,4.4687481
IDN,POULTRY,2006,4.9340999000000005
IDN,POULTRY,2007,5.084994200000001
IDN,POULTRY,2008,5.1677097000000005
IDN,POULTRY,2009,5.2718055
IDN,POULTRY,2010,5.6826998
IDN,POULTRY,2011,6.066002
IDN,POULTRY,2012,6.251539900000001
IDN,POULTRY,2013,6.5424657
IDN,POULTRY,2014,6.812042599999999
IDN,POULTRY,2015,7.0521156000000005
IDN,POULTRY,2016,7.9070249000000015
IDN,POULTRY,2017,7.683447999999999
IDN,POULTRY,2018,7.5651055
IDN,POULTRY,2019,7.5693057
IDN,POULTRY,2020,7.6553023
IDN,POULTRY,2021,7.8041853
IDN,POULTRY,2022,7.944843700000001
IDN,SHEEP,1990,0.43781099999999995
IDN,SHEEP,1991,0.45156440000000003
IDN,SHEEP,1992,0.46717359999999997
IDN,SHEEP,1993,0.5152821
IDN,SHEEP,1994,0.4537367
IDN,SHEEP,1995,0.42455059999999994
IDN,SHEEP,1996,0.4372827
IDN,SHEEP,1997,0.4679925999999999
IDN,SHEEP,1998,0.35089580000000004
IDN,SHEEP,1999,0.32990879999999995
IDN,SHEEP,2000,0.3280425
IDN,SHEEP,2001,0.3859498
IDN,SHEEP,2002,0.5140713
IDN,SHEEP,2003,0.578403
IDN,SHEEP,2004,0.4868139
IDN,SHEEP,2005,0.3833475
IDN,SHEEP,2006,0.5394869999999999
IDN,SHEEP,2007,0.4571571
IDN,SHEEP,2008,0.423878
IDN,SHEEP,2009,0.4740647
IDN,SHEEP,2010,0.4152646
IDN,SHEEP,2011,0.40874190000000005
IDN,SHEEP,2012,0.3915825
IDN,SHEEP,2013,0.3771508
IDN,SHEEP,2014,0.3817689
IDN,SHEEP,2015,0.3824748
IDN,SHEEP,2016,0.3904364
IDN,SHEEP,2017,0.4246142
IDN,SHEEP,2018,0.4310996
IDN,SHEEP,2019,0.4290295
IDN,SHEEP,2020,0.42982309999999996
IDN,SHEEP,2021,0.43262740000000005
IDN,SHEEP,2022,0.4354643
