LOCATION,SUBJECT,TIME,VALUE
IRN,BEEF,1990,4.302125
IRN,BEEF,1991,3.5600522000000003
IRN,BEEF,1992,3.4357973
IRN,BEEF,1993,3.8579312999999993
IRN,BEEF,1994,3.7078428
IRN,BEEF,1995,3.5698189
IRN,BEEF,1996,4.387569200000001
IRN,BEEF,1997,4.317403
IRN,BEEF,1998,4.2652488
IRN,BEEF,1999,3.5225375
IRN,BEEF,2000,3.2905757000000007
IRN,BEEF,2001,3.5584233999999997
IRN,BEEF,2002,3.8672549
IRN,BEEF,2003,3.8091288999999997
IRN,BEEF,2004,4.2139816
IRN,BEEF,2005,3.954134
IRN,BEEF,2006,4.7257948
IRN,BEEF,2007,4.961052400000001
IRN,BEEF,2008,4.417891099999999
IRN,BEEF,2009,4.4433858
IRN,BEEF,2010,5.6484959
IRN,BEEF,2011,5.1952110000000005
IRN,BEEF,2012,4.543132099999999
IRN,BEEF,2013,4.5082009
IRN,BEEF,2014,4.7959297
IRN,BEEF,2015,4.9794882000000005
IRN,BEEF,2016,5.2426438
IRN,BEEF,2017,5.4409861
IRN,BEEF,2018,5.4048065
IRN,BEEF,2019,5.286695
IRN,BEEF,2020,5.3644167000000005
IRN,BEEF,2021,5.440395
IRN,BEEF,2022,5.5463505
IRN,PIG,1990,2.6e-06
IRN,PIG,1991,2.6e-06
IRN,PIG,1992,2.5e-06
IRN,PIG,1993,2.5e-06
IRN,PIG,1994,2.5e-06
IRN,PIG,1995,2.4e-06
IRN,PIG,1996,2.4e-06
IRN,PIG,1997,2.4e-06
IRN,PIG,1998,2.3e-06
IRN,PIG,1999,2.3e-06
IRN,PIG,2000,2.2e-06
IRN,PIG,2001,2.2e-06
IRN,PIG,2002,9.290000000000001e-05
IRN,PIG,2003,0.0010325999999999998
IRN,PIG,2004,0.00021400000000000002
IRN,PIG,2005,0.0011863
IRN,PIG,2006,0.0021146
IRN,PIG,2007,0.002026
IRN,PIG,2008,0.0021854
IRN,PIG,2009,0.0025203000000000005
IRN,PIG,2010,0.0020303
IRN,PIG,2011,0.0002697
IRN,PIG,2012,1.9e-06
IRN,PIG,2013,1.9e-06
IRN,PIG,2014,1.9e-06
IRN,PIG,2015,1.9e-06
IRN,PIG,2016,1.8000000000000001e-06
IRN,PIG,2017,0.016549900000000003
IRN,PIG,2018,0.0171205
IRN,PIG,2019,0.0169532
IRN,PIG,2020,0.016797799999999998
IRN,PIG,2021,0.016654099999999998
IRN,PIG,2022,0.016522099999999998
IRN,POULTRY,1990,6.1859307999999995
IRN,POULTRY,1991,6.7015069
IRN,POULTRY,1992,8.5560279
IRN,POULTRY,1993,9.3817509
IRN,POULTRY,1994,9.3681775
IRN,POULTRY,1995,9.566512300000001
IRN,POULTRY,1996,9.7458199
IRN,POULTRY,1997,10.2110954
IRN,POULTRY,1998,10.294219900000002
IRN,POULTRY,1999,10.210871000000001
IRN,POULTRY,2000,11.0465334
IRN,POULTRY,2001,11.6331081
IRN,POULTRY,2002,12.221695
IRN,POULTRY,2003,14.152378
IRN,POULTRY,2004,14.801960099999999
IRN,POULTRY,2005,15.4344693
IRN,POULTRY,2006,16.7562532
IRN,POULTRY,2007,18.3812374
IRN,POULTRY,2008,18.930546300000003
IRN,POULTRY,2009,19.2816789
IRN,POULTRY,2010,19.836112600000003
IRN,POULTRY,2011,21.3395729
IRN,POULTRY,2012,21.828611600000002
IRN,POULTRY,2013,22.2888292
IRN,POULTRY,2014,22.2963271
IRN,POULTRY,2015,22.336775
IRN,POULTRY,2016,22.694819100000004
IRN,POULTRY,2017,23.0749516
IRN,POULTRY,2018,23.008546600000003
IRN,POULTRY,2019,22.9434793
IRN,POULTRY,2020,23.175864100000002
IRN,POULTRY,2021,23.4211775
IRN,POULTRY,2022,23.6790385
IRN,SHEEP,1990,5.517004099999999
IRN,SHEEP,1991,6.273052900000001
IRN,SHEEP,1992,6.2050859
IRN,SHEEP,1993,5.8269459999999995
IRN,SHEEP,1994,5.6431877
IRN,SHEEP,1995,5.5639538
IRN,SHEEP,1996,5.865183099999999
IRN,SHEEP,1997,5.8516476
IRN,SHEEP,1998,6.0455143
IRN,SHEEP,1999,5.39816
IRN,SHEEP,2000,5.7990559
IRN,SHEEP,2001,5.8184895
IRN,SHEEP,2002,5.8211401
IRN,SHEEP,2003,5.330818799999999
IRN,SHEEP,2004,5.4013176
IRN,SHEEP,2005,5.398328599999999
IRN,SHEEP,2006,5.3865815
IRN,SHEEP,2007,5.5498173
IRN,SHEEP,2008,4.208361900000001
IRN,SHEEP,2009,4.2678736
IRN,SHEEP,2010,4.4675698
IRN,SHEEP,2011,4.4439373
IRN,SHEEP,2012,4.4119505
IRN,SHEEP,2013,4.071948399999999
IRN,SHEEP,2014,4.1267855
IRN,SHEEP,2015,4.241939
IRN,SHEEP,2016,3.9639644
IRN,SHEEP,2017,4.0550941
IRN,SHEEP,2018,4.2175703
IRN,SHEEP,2019,4.0472269999999995
IRN,SHEEP,2020,4.0574097
IRN,SHEEP,2021,4.1001877
IRN,SHEEP,2022,4.1067593
