LOCATION,SUBJECT,TIME,VALUE
ISR,BEEF,1990,9.9660296
ISR,BEEF,1991,12.3201224
ISR,BEEF,1992,10.094054
ISR,BEEF,1993,10.6520144
ISR,BEEF,1994,13.893723300000001
ISR,BEEF,1995,12.3434452
ISR,BEEF,1996,13.616147699999999
ISR,BEEF,1997,14.431471900000002
ISR,BEEF,1998,13.6586816
ISR,BEEF,1999,13.467696799999999
ISR,BEEF,2000,16.5490771
ISR,BEEF,2001,15.178044199999999
ISR,BEEF,2002,17.7878811
ISR,BEEF,2003,18.3421718
ISR,BEEF,2004,18.3747174
ISR,BEEF,2005,16.869843399999997
ISR,BEEF,2006,21.9668891
ISR,BEEF,2007,19.938226800000002
ISR,BEEF,2008,23.445153899999998
ISR,BEEF,2009,17.8545059
ISR,BEEF,2010,19.493128100000003
ISR,BEEF,2011,19.401473199999998
ISR,BEEF,2012,19.3404391
ISR,BEEF,2013,20.799064899999998
ISR,BEEF,2014,18.352454
ISR,BEEF,2015,19.4307231
ISR,BEEF,2016,19.9779416
ISR,BEEF,2017,21.161171
ISR,BEEF,2018,20.4622063
ISR,BEEF,2019,20.327627399999997
ISR,BEEF,2020,20.3328773
ISR,BEEF,2021,20.3365214
ISR,BEEF,2022,20.3479112
ISR,PIG,1990,1.5903562
ISR,PIG,1991,1.5685175
ISR,PIG,1992,1.5028055
ISR,PIG,1993,1.3582086000000002
ISR,PIG,1994,1.3122268
ISR,PIG,1995,1.4976525
ISR,PIG,1996,1.4788381000000002
ISR,PIG,1997,1.6370108
ISR,PIG,1998,1.6001391
ISR,PIG,1999,1.1369618000000001
ISR,PIG,2000,1.9159848999999998
ISR,PIG,2001,1.9948281000000003
ISR,PIG,2002,2.0523726000000004
ISR,PIG,2003,2.1350403
ISR,PIG,2004,2.194778
ISR,PIG,2005,2.2177592
ISR,PIG,2006,2.0488476
ISR,PIG,2007,2.0884061000000003
ISR,PIG,2008,2.0386419
ISR,PIG,2009,2.1123088
ISR,PIG,2010,1.9817425
ISR,PIG,2011,1.9485743999999998
ISR,PIG,2012,1.9840745
ISR,PIG,2013,1.6413688999999998
ISR,PIG,2014,1.5483552
ISR,PIG,2015,1.5304043999999999
ISR,PIG,2016,1.532715
ISR,PIG,2017,1.3867789
ISR,PIG,2018,1.3839747
ISR,PIG,2019,1.3628416
ISR,PIG,2020,1.3425649
ISR,PIG,2021,1.3231019
ISR,PIG,2022,1.3043126
ISR,POULTRY,1990,34.26907620000001
ISR,POULTRY,1991,35.909803000000004
ISR,POULTRY,1992,38.337422
ISR,POULTRY,1993,39.8239369
ISR,POULTRY,1994,42.2268244
ISR,POULTRY,1995,40.6926745
ISR,POULTRY,1996,40.8338184
ISR,POULTRY,1997,40.4751664
ISR,POULTRY,1998,40.238132
ISR,POULTRY,1999,41.005253499999995
ISR,POULTRY,2000,58.99913299999999
ISR,POULTRY,2001,63.1470858
ISR,POULTRY,2002,63.08871479999999
ISR,POULTRY,2003,61.2383816
ISR,POULTRY,2004,62.445363
ISR,POULTRY,2005,63.74292929999999
ISR,POULTRY,2006,66.0763692
ISR,POULTRY,2007,64.857419
ISR,POULTRY,2008,63.529818299999995
ISR,POULTRY,2009,63.4185657
ISR,POULTRY,2010,63.592984799999996
ISR,POULTRY,2011,63.2028478
ISR,POULTRY,2012,64.2210784
ISR,POULTRY,2013,57.9835928
ISR,POULTRY,2014,61.782519799999996
ISR,POULTRY,2015,64.9362002
ISR,POULTRY,2016,68.1020696
ISR,POULTRY,2017,65.779756
ISR,POULTRY,2018,64.8666915
ISR,POULTRY,2019,65.11181529999999
ISR,POULTRY,2020,65.5655836
ISR,POULTRY,2021,66.02987579999999
ISR,POULTRY,2022,66.4915579
ISR,SHEEP,1990,1.173229
ISR,SHEEP,1991,1.1371662
ISR,SHEEP,1992,1.0979921000000001
ISR,SHEEP,1993,1.2398120000000001
ISR,SHEEP,1994,1.2367013999999998
ISR,SHEEP,1995,1.2712496000000002
ISR,SHEEP,1996,1.2018212
ISR,SHEEP,1997,1.0704148
ISR,SHEEP,1998,1.1600771
ISR,SHEEP,1999,1.2337358999999999
ISR,SHEEP,2000,1.2997313
ISR,SHEEP,2001,1.2922635
ISR,SHEEP,2002,1.140196
ISR,SHEEP,2003,1.1755612
ISR,SHEEP,2004,1.1110280000000001
ISR,SHEEP,2005,1.2466522
ISR,SHEEP,2006,1.3859535
ISR,SHEEP,2007,1.3834413
ISR,SHEEP,2008,1.4603535
ISR,SHEEP,2009,1.525747
ISR,SHEEP,2010,1.6168697
ISR,SHEEP,2011,1.8290106
ISR,SHEEP,2012,1.7799898
ISR,SHEEP,2013,1.7781028000000003
ISR,SHEEP,2014,1.9109756999999998
ISR,SHEEP,2015,1.7126429
ISR,SHEEP,2016,1.5404726999999998
ISR,SHEEP,2017,1.5805391000000002
ISR,SHEEP,2018,1.5862889
ISR,SHEEP,2019,1.6029741000000002
ISR,SHEEP,2020,1.628217
ISR,SHEEP,2021,1.6538338
ISR,SHEEP,2022,1.6761626
