LOCATION,SUBJECT,TIME,VALUE
JPN,BEEF,1990,5.999810500000001
JPN,BEEF,1991,6.4003448
JPN,BEEF,1992,6.649581599999999
JPN,BEEF,1993,7.285124900000001
JPN,BEEF,1994,8.0025961
JPN,BEEF,1995,8.4077242
JPN,BEEF,1996,7.965391599999999
JPN,BEEF,1997,8.0719437
JPN,BEEF,1998,8.1858134
JPN,BEEF,1999,8.173006299999999
JPN,BEEF,2000,8.6175031
JPN,BEEF,2001,7.0293562000000005
JPN,BEEF,2002,7.1278292
JPN,BEEF,2003,6.9793977
JPN,BEEF,2004,6.9616784
JPN,BEEF,2005,6.2338901
JPN,BEEF,2006,6.187077400000001
JPN,BEEF,2007,6.3794892999999995
JPN,BEEF,2008,6.384995099999999
JPN,BEEF,2009,6.4911578
JPN,BEEF,2010,6.7062194
JPN,BEEF,2011,6.721866
JPN,BEEF,2012,6.730751400000001
JPN,BEEF,2013,6.7269934000000005
JPN,BEEF,2014,6.6891686
JPN,BEEF,2015,6.4873533
JPN,BEEF,2016,6.4079914
JPN,BEEF,2017,7.2644159
JPN,BEEF,2018,7.436115099999999
JPN,BEEF,2019,7.439557000000001
JPN,BEEF,2020,7.476899499999999
JPN,BEEF,2021,7.5030265
JPN,BEEF,2022,7.524834599999999
JPN,PIG,1990,12.9784108
JPN,PIG,1991,13.002172199999999
JPN,PIG,1992,13.005146
JPN,PIG,1993,12.8996274
JPN,PIG,1994,12.975070500000001
JPN,PIG,1995,13.028317800000002
JPN,PIG,1996,13.6764052
JPN,PIG,1997,12.6920448
JPN,PIG,1998,12.5848212
JPN,PIG,1999,12.8633679
JPN,PIG,2000,13.3320061
JPN,PIG,2001,13.6578937
JPN,PIG,2002,14.333920800000001
JPN,PIG,2003,14.111669500000001
JPN,PIG,2004,15.0510894
JPN,PIG,2005,14.9500275
JPN,PIG,2006,13.994142499999999
JPN,PIG,2007,14.260167000000001
JPN,PIG,2008,14.507131900000001
JPN,PIG,2009,14.1576809
JPN,PIG,2010,14.347146300000002
JPN,PIG,2011,14.5969438
JPN,PIG,2012,14.5149555
JPN,PIG,2013,14.4895206
JPN,PIG,2014,14.678733
JPN,PIG,2015,14.9610538
JPN,PIG,2016,15.3787704
JPN,PIG,2017,15.833545800000001
JPN,PIG,2018,16.168831
JPN,PIG,2019,16.1523277
JPN,PIG,2020,16.326194400000002
JPN,PIG,2021,16.3599674
JPN,PIG,2022,16.4158538
JPN,POULTRY,1990,12.6110793
JPN,POULTRY,1991,11.839528
JPN,POULTRY,1992,12.193824900000001
JPN,POULTRY,1993,11.952276800000002
JPN,POULTRY,1994,12.4754492
JPN,POULTRY,1995,12.563952
JPN,POULTRY,1996,12.9717964
JPN,POULTRY,1997,12.6256103
JPN,POULTRY,1998,11.9554659
JPN,POULTRY,1999,12.0075469
JPN,POULTRY,2000,12.8393242
JPN,POULTRY,2001,13.212997099999999
JPN,POULTRY,2002,12.8154557
JPN,POULTRY,2003,12.672555699999998
JPN,POULTRY,2004,12.391691499999999
JPN,POULTRY,2005,13.1505856
JPN,POULTRY,2006,13.374894099999999
JPN,POULTRY,2007,13.4889934
JPN,POULTRY,2008,13.3276182
JPN,POULTRY,2009,13.6809784
JPN,POULTRY,2010,14.277014000000001
JPN,POULTRY,2011,14.2111228
JPN,POULTRY,2012,15.1187071
JPN,POULTRY,2013,15.041410399999998
JPN,POULTRY,2014,15.285538199999998
JPN,POULTRY,2015,15.801635899999999
JPN,POULTRY,2016,16.2486751
JPN,POULTRY,2017,17.0029842
JPN,POULTRY,2018,16.9205122
JPN,POULTRY,2019,16.9962765
JPN,POULTRY,2020,17.058435
JPN,POULTRY,2021,17.160432699999998
JPN,POULTRY,2022,17.267675600000004
JPN,SHEEP,1990,0.7429247
JPN,SHEEP,1991,0.758946
JPN,SHEEP,1992,0.7970885
JPN,SHEEP,1993,0.6718364
JPN,SHEEP,1994,0.5628975
JPN,SHEEP,1995,0.5762898
JPN,SHEEP,1996,0.4972735
JPN,SHEEP,1997,0.43798059999999994
JPN,SHEEP,1998,0.41962429999999995
JPN,SHEEP,1999,0.3522471
JPN,SHEEP,2000,0.3197525
JPN,SHEEP,2001,0.30673829999999996
JPN,SHEEP,2002,0.29358029999999996
JPN,SHEEP,2003,0.2519735
JPN,SHEEP,2004,0.31888099999999997
JPN,SHEEP,2005,0.3638338
JPN,SHEEP,2006,0.36650459999999996
JPN,SHEEP,2007,0.2642638
JPN,SHEEP,2008,0.2673197
JPN,SHEEP,2009,0.26995559999999996
JPN,SHEEP,2010,0.2164549
JPN,SHEEP,2011,0.21817670000000003
JPN,SHEEP,2012,0.1881316
JPN,SHEEP,2013,0.12460109999999999
JPN,SHEEP,2014,0.14000379999999998
JPN,SHEEP,2015,0.12724749999999999
JPN,SHEEP,2016,0.1380951
JPN,SHEEP,2017,0.1531877
JPN,SHEEP,2018,0.1626354
JPN,SHEEP,2019,0.1610481
JPN,SHEEP,2020,0.1615714
JPN,SHEEP,2021,0.1614381
JPN,SHEEP,2022,0.1615086
