LOCATION,SUBJECT,TIME,VALUE
MYS,BEEF,1990,2.5836481
MYS,BEEF,1991,2.9116439
MYS,BEEF,1992,2.9487866
MYS,BEEF,1993,3.0005112
MYS,BEEF,1994,3.2351435
MYS,BEEF,1995,3.5303663
MYS,BEEF,1996,3.8261875
MYS,BEEF,1997,3.7434293
MYS,BEEF,1998,3.2758127999999997
MYS,BEEF,1999,3.5486211
MYS,BEEF,2000,4.1187695
MYS,BEEF,2001,4.1385523
MYS,BEEF,2002,4.235326799999999
MYS,BEEF,2003,4.3586035
MYS,BEEF,2004,5.2094383
MYS,BEEF,2005,5.1120333
MYS,BEEF,2006,4.8449
MYS,BEEF,2007,4.7093217
MYS,BEEF,2008,4.2574146
MYS,BEEF,2009,4.558015900000001
MYS,BEEF,2010,4.5901691
MYS,BEEF,2011,4.8485955999999995
MYS,BEEF,2012,4.8787123
MYS,BEEF,2013,5.304448000000001
MYS,BEEF,2014,5.384219
MYS,BEEF,2015,5.837111599999999
MYS,BEEF,2016,5.4112142
MYS,BEEF,2017,5.2146315
MYS,BEEF,2018,5.2211998
MYS,BEEF,2019,5.304361
MYS,BEEF,2020,5.4223369
MYS,BEEF,2021,5.530622599999999
MYS,BEEF,2022,5.6332951
MYS,PIG,1990,10.0592227
MYS,PIG,1991,9.992086599999999
MYS,PIG,1992,10.4893571
MYS,PIG,1993,10.6845611
MYS,PIG,1994,11.2238755
MYS,PIG,1995,10.9215132
MYS,PIG,1996,10.4179626
MYS,PIG,1997,10.251035400000001
MYS,PIG,1998,9.4270362
MYS,PIG,1999,5.8178777
MYS,PIG,2000,5.8218099
MYS,PIG,2001,6.6537429
MYS,PIG,2002,6.805225
MYS,PIG,2003,6.158188099999999
MYS,PIG,2004,6.3151123
MYS,PIG,2005,6.4465544999999995
MYS,PIG,2006,6.5548087
MYS,PIG,2007,5.9224535000000005
MYS,PIG,2008,5.710782
MYS,PIG,2009,5.852366
MYS,PIG,2010,6.8345324000000005
MYS,PIG,2011,6.1872123
MYS,PIG,2012,6.0180218
MYS,PIG,2013,5.9085436
MYS,PIG,2014,5.9131152
MYS,PIG,2015,6.1541347
MYS,PIG,2016,5.493069
MYS,PIG,2017,5.3836692
MYS,PIG,2018,5.3579287
MYS,PIG,2019,5.3010468
MYS,PIG,2020,5.3129258
MYS,PIG,2021,5.2736637
MYS,PIG,2022,5.247269599999999
MYS,POULTRY,1990,18.8117555
MYS,POULTRY,1991,22.3896119
MYS,POULTRY,1992,25.7428182
MYS,POULTRY,1993,28.921381
MYS,POULTRY,1994,29.978941
MYS,POULTRY,1995,30.274384899999998
MYS,POULTRY,1996,29.8741739
MYS,POULTRY,1997,29.517532399999997
MYS,POULTRY,1998,29.240118699999996
MYS,POULTRY,1999,29.4323239
MYS,POULTRY,2000,28.063128000000003
MYS,POULTRY,2001,28.9493299
MYS,POULTRY,2002,30.8991941
MYS,POULTRY,2003,31.023040899999998
MYS,POULTRY,2004,32.615057300000004
MYS,POULTRY,2005,33.4955649
MYS,POULTRY,2006,34.9986956
MYS,POULTRY,2007,36.4460166
MYS,POULTRY,2008,37.253178399999996
MYS,POULTRY,2009,37.6449937
MYS,POULTRY,2010,40.0893032
MYS,POULTRY,2011,40.7479511
MYS,POULTRY,2012,41.891118799999994
MYS,POULTRY,2013,43.6102171
MYS,POULTRY,2014,46.3041134
MYS,POULTRY,2015,47.2589151
MYS,POULTRY,2016,50.1817248
MYS,POULTRY,2017,48.5218696
MYS,POULTRY,2018,48.701000799999996
MYS,POULTRY,2019,49.0022598
MYS,POULTRY,2020,49.348926299999995
MYS,POULTRY,2021,49.7251328
MYS,POULTRY,2022,50.108687700000004
MYS,SHEEP,1990,0.3704784
MYS,SHEEP,1991,0.3688748
MYS,SHEEP,1992,0.436933
MYS,SHEEP,1993,0.4172774
MYS,SHEEP,1994,0.39855359999999995
MYS,SHEEP,1995,0.523867
MYS,SHEEP,1996,0.6212648000000001
MYS,SHEEP,1997,0.5405645
MYS,SHEEP,1998,0.5328956
MYS,SHEEP,1999,0.5524439999999999
MYS,SHEEP,2000,0.5445002
MYS,SHEEP,2001,0.6216020000000001
MYS,SHEEP,2002,0.5548673000000001
MYS,SHEEP,2003,0.46241099999999996
MYS,SHEEP,2004,0.5443119000000001
MYS,SHEEP,2005,0.5557951999999999
MYS,SHEEP,2006,0.5926264
MYS,SHEEP,2007,0.6472991
MYS,SHEEP,2008,0.6464255
MYS,SHEEP,2009,0.6551246999999999
MYS,SHEEP,2010,0.7645485
MYS,SHEEP,2011,0.6497895
MYS,SHEEP,2012,0.7606768
MYS,SHEEP,2013,0.8895793
MYS,SHEEP,2014,1.0387505
MYS,SHEEP,2015,1.1017231
MYS,SHEEP,2016,1.0632342
MYS,SHEEP,2017,1.2004481000000002
MYS,SHEEP,2018,1.1260636999999998
MYS,SHEEP,2019,1.1645121
MYS,SHEEP,2020,1.1840521000000002
MYS,SHEEP,2021,1.1973031
MYS,SHEEP,2022,1.2119553
