LOCATION,SUBJECT,TIME,VALUE
MEX,BEEF,1990,7.261089999999999
MEX,BEEF,1991,8.8149838
MEX,BEEF,1992,9.1820746
MEX,BEEF,1993,8.3099787
MEX,BEEF,1994,9.740694300000001
MEX,BEEF,1995,8.3344656
MEX,BEEF,1996,9.6664688
MEX,BEEF,1997,9.9107103
MEX,BEEF,1998,10.675672800000001
MEX,BEEF,1999,10.576775999999999
MEX,BEEF,2000,10.4752708
MEX,BEEF,2001,10.733264199999999
MEX,BEEF,2002,11.4960537
MEX,BEEF,2003,10.6892325
MEX,BEEF,2004,10.1658395
MEX,BEEF,2005,10.4285843
MEX,BEEF,2006,9.7807045
MEX,BEEF,2007,10.4480072
MEX,BEEF,2008,10.937395
MEX,BEEF,2009,10.275567
MEX,BEEF,2010,9.6923811
MEX,BEEF,2011,8.7972684
MEX,BEEF,2012,8.7882037
MEX,BEEF,2013,9.3622971
MEX,BEEF,2014,8.978622999999999
MEX,BEEF,2015,8.6276606
MEX,BEEF,2016,8.8353882
MEX,BEEF,2017,8.8663074
MEX,BEEF,2018,8.8511189
MEX,BEEF,2019,8.7737357
MEX,BEEF,2020,8.7308524
MEX,BEEF,2021,8.7145812
MEX,BEEF,2022,8.698262699999999
MEX,PIG,1990,7.216834599999999
MEX,PIG,1991,7.7539549
MEX,PIG,1992,7.6774438
MEX,PIG,1993,7.4687735
MEX,PIG,1994,8.0148515
MEX,PIG,1995,7.840936999999999
MEX,PIG,1996,7.561337299999999
MEX,PIG,1997,7.780835499999999
MEX,PIG,1998,8.2237205
MEX,PIG,1999,8.423988900000001
MEX,PIG,2000,8.971991599999999
MEX,PIG,2001,9.1627236
MEX,PIG,2002,9.4482748
MEX,PIG,2003,9.7470602
MEX,PIG,2004,9.996774900000002
MEX,PIG,2005,9.8493894
MEX,PIG,2006,9.8168691
MEX,PIG,2007,9.888572400000001
MEX,PIG,2008,10.162801400000001
MEX,PIG,2009,10.848626
MEX,PIG,2010,10.7363838
MEX,PIG,2011,10.2565454
MEX,PIG,2012,10.8680898
MEX,PIG,2013,11.3052646
MEX,PIG,2014,11.336232699999998
MEX,PIG,2015,12.1231855
MEX,PIG,2016,12.4159882
MEX,PIG,2017,12.934351
MEX,PIG,2018,13.451457099999999
MEX,PIG,2019,13.4418609
MEX,PIG,2020,13.7610975
MEX,PIG,2021,13.8376981
MEX,PIG,2022,13.962033199999999
MEX,POULTRY,1990,8.303579
MEX,POULTRY,1991,9.469594699999998
MEX,POULTRY,1992,9.720792900000001
MEX,POULTRY,1993,11.109450099999998
MEX,POULTRY,1994,11.8895444
MEX,POULTRY,1995,13.064605699999998
MEX,POULTRY,1996,12.821893600000001
MEX,POULTRY,1997,14.559932199999999
MEX,POULTRY,1998,16.027661900000002
MEX,POULTRY,1999,16.9444303
MEX,POULTRY,2000,17.774371
MEX,POULTRY,2001,18.729261100000002
MEX,POULTRY,2002,20.1076091
MEX,POULTRY,2003,21.6168402
MEX,POULTRY,2004,21.821943
MEX,POULTRY,2005,23.2600409
MEX,POULTRY,2006,23.5167114
MEX,POULTRY,2007,23.539488600000002
MEX,POULTRY,2008,23.900928
MEX,POULTRY,2009,24.159589800000003
MEX,POULTRY,2010,24.4776858
MEX,POULTRY,2011,24.901466199999998
MEX,POULTRY,2012,25.8494828
MEX,POULTRY,2013,26.045089100000002
MEX,POULTRY,2014,26.447042699999997
MEX,POULTRY,2015,27.1224962
MEX,POULTRY,2016,27.7914294
MEX,POULTRY,2017,28.469731300000003
MEX,POULTRY,2018,28.757010700000002
MEX,POULTRY,2019,29.248802500000004
MEX,POULTRY,2020,29.252073100000004
MEX,POULTRY,2021,29.3637165
MEX,POULTRY,2022,29.4918054
MEX,SHEEP,1990,0.46113459999999995
MEX,SHEEP,1991,0.5974982
MEX,SHEEP,1992,0.6389369
MEX,SHEEP,1993,0.6467055
MEX,SHEEP,1994,0.6712752
MEX,SHEEP,1995,0.4133598
MEX,SHEEP,1996,0.4033685
MEX,SHEEP,1997,0.49484849999999997
MEX,SHEEP,1998,0.516428
MEX,SHEEP,1999,0.5860236
MEX,SHEEP,2000,0.6946285
MEX,SHEEP,2001,0.7359321
MEX,SHEEP,2002,0.7412693
MEX,SHEEP,2003,0.9894124
MEX,SHEEP,2004,0.8492516999999999
MEX,SHEEP,2005,0.6980235
MEX,SHEEP,2006,0.6690564999999999
MEX,SHEEP,2007,0.6794771
MEX,SHEEP,2008,0.6637552
MEX,SHEEP,2009,0.5886305000000001
MEX,SHEEP,2010,0.546557
MEX,SHEEP,2011,0.520582
MEX,SHEEP,2012,0.4799486
MEX,SHEEP,2013,0.5382943
MEX,SHEEP,2014,0.5312728
MEX,SHEEP,2015,0.5362405
MEX,SHEEP,2016,0.5084934
MEX,SHEEP,2017,0.511742
MEX,SHEEP,2018,0.5198643000000001
MEX,SHEEP,2019,0.517871
MEX,SHEEP,2020,0.5200718
MEX,SHEEP,2021,0.5205339
MEX,SHEEP,2022,0.5207323
