LOCATION,SUBJECT,TIME,VALUE
NZL,BEEF,1990,26.0714735
NZL,BEEF,1991,24.029867199999998
NZL,BEEF,1992,24.800559
NZL,BEEF,1993,24.150632100000003
NZL,BEEF,1994,21.0229185
NZL,BEEF,1995,28.2180813
NZL,BEEF,1996,29.056999199999996
NZL,BEEF,1997,25.2578454
NZL,BEEF,1998,21.9188203
NZL,BEEF,1999,23.145910699999998
NZL,BEEF,2000,23.2671049
NZL,BEEF,2001,21.6633212
NZL,BEEF,2002,16.952348100000002
NZL,BEEF,2003,23.150179
NZL,BEEF,2004,20.182315300000003
NZL,BEEF,2005,15.748632500000001
NZL,BEEF,2006,17.1870875
NZL,BEEF,2007,20.0937408
NZL,BEEF,2008,20.142126899999997
NZL,BEEF,2009,17.7784234
NZL,BEEF,2010,17.164653100000002
NZL,BEEF,2011,16.5226978
NZL,BEEF,2012,15.7811258
NZL,BEEF,2013,15.8864258
NZL,BEEF,2014,15.4082552
NZL,BEEF,2015,13.871356900000002
NZL,BEEF,2016,12.5258861
NZL,BEEF,2017,12.0722127
NZL,BEEF,2018,11.8545279
NZL,BEEF,2019,11.7664204
NZL,BEEF,2020,11.759486599999999
NZL,BEEF,2021,11.6325077
NZL,BEEF,2022,11.4927137
NZL,PIG,1990,10.9718043
NZL,PIG,1991,10.5539669
NZL,PIG,1992,10.9683245
NZL,PIG,1993,11.5933719
NZL,PIG,1994,13.053370800000001
NZL,PIG,1995,12.4247291
NZL,PIG,1996,12.5077955
NZL,PIG,1997,11.8601201
NZL,PIG,1998,12.5071063
NZL,PIG,1999,13.3880712
NZL,PIG,2000,13.3820672
NZL,PIG,2001,12.5482855
NZL,PIG,2002,12.958826
NZL,PIG,2003,13.783679500000002
NZL,PIG,2004,14.8469611
NZL,PIG,2005,15.038488099999999
NZL,PIG,2006,16.0116478
NZL,PIG,2007,16.0825772
NZL,PIG,2008,16.065675199999998
NZL,PIG,2009,15.912297599999999
NZL,PIG,2010,14.8096717
NZL,PIG,2011,15.979215700000001
NZL,PIG,2012,16.1109834
NZL,PIG,2013,15.8969411
NZL,PIG,2014,16.3679291
NZL,PIG,2015,17.7865258
NZL,PIG,2016,17.4450671
NZL,PIG,2017,18.559419600000002
NZL,PIG,2018,18.9080159
NZL,PIG,2019,18.9349293
NZL,PIG,2020,19.1305913
NZL,PIG,2021,19.1288516
NZL,PIG,2022,19.158905899999997
NZL,POULTRY,1990,14.5796293
NZL,POULTRY,1991,14.8872772
NZL,POULTRY,1992,15.298121300000002
NZL,POULTRY,1993,16.8373388
NZL,POULTRY,1994,18.303610600000003
NZL,POULTRY,1995,22.2678288
NZL,POULTRY,1996,21.5606549
NZL,POULTRY,1997,20.900821399999998
NZL,POULTRY,1998,22.653787100000002
NZL,POULTRY,1999,23.1925292
NZL,POULTRY,2000,24.5546028
NZL,POULTRY,2001,26.4587772
NZL,POULTRY,2002,28.7019658
NZL,POULTRY,2003,31.0777549
NZL,POULTRY,2004,32.2497673
NZL,POULTRY,2005,33.828224
NZL,POULTRY,2006,32.1345137
NZL,POULTRY,2007,30.450468199999996
NZL,POULTRY,2008,30.256591200000003
NZL,POULTRY,2009,28.2989825
NZL,POULTRY,2010,28.779883399999996
NZL,POULTRY,2011,29.518237100000004
NZL,POULTRY,2012,32.5225097
NZL,POULTRY,2013,32.1912346
NZL,POULTRY,2014,33.32978610000001
NZL,POULTRY,2015,33.59265070000001
NZL,POULTRY,2016,37.2217475
NZL,POULTRY,2017,38.4207141
NZL,POULTRY,2018,39.4109365
NZL,POULTRY,2019,39.6133177
NZL,POULTRY,2020,39.4794124
NZL,POULTRY,2021,39.562562899999996
NZL,POULTRY,2022,39.6258542
NZL,SHEEP,1990,27.825697899999998
NZL,SHEEP,1991,29.77062
NZL,SHEEP,1992,29.9182946
NZL,SHEEP,1993,21.4505656
NZL,SHEEP,1994,38.56286420000001
NZL,SHEEP,1995,30.027806400000003
NZL,SHEEP,1996,15.1869438
NZL,SHEEP,1997,26.1569985
NZL,SHEEP,1998,26.384576199999998
NZL,SHEEP,1999,22.7304435
NZL,SHEEP,2000,25.4836174
NZL,SHEEP,2001,27.060566700000003
NZL,SHEEP,2002,20.6071732
NZL,SHEEP,2003,24.335528699999998
NZL,SHEEP,2004,20.4937552
NZL,SHEEP,2005,20.1894518
NZL,SHEEP,2006,19.0500175
NZL,SHEEP,2007,17.334289300000002
NZL,SHEEP,2008,13.528859200000001
NZL,SHEEP,2009,6.3841289
NZL,SHEEP,2010,5.9084624
NZL,SHEEP,2011,5.5516727999999995
NZL,SHEEP,2012,5.5508956
NZL,SHEEP,2013,6.1457559
NZL,SHEEP,2014,6.2723751
NZL,SHEEP,2015,5.867312200000001
NZL,SHEEP,2016,5.515990400000001
NZL,SHEEP,2017,5.2887629
NZL,SHEEP,2018,4.712234
NZL,SHEEP,2019,4.5832898
NZL,SHEEP,2020,4.5464134000000005
NZL,SHEEP,2021,4.4894443
NZL,SHEEP,2022,4.4458690999999995
