LOCATION,SUBJECT,TIME,VALUE
NGA,BEEF,1990,1.5013382
NGA,BEEF,1991,1.4734798999999998
NGA,BEEF,1992,1.4694260000000001
NGA,BEEF,1993,1.665252
NGA,BEEF,1994,1.7610468999999997
NGA,BEEF,1995,1.7304502
NGA,BEEF,1996,1.7762901000000002
NGA,BEEF,1997,1.8198463
NGA,BEEF,1998,1.7945296000000002
NGA,BEEF,1999,1.7532993000000001
NGA,BEEF,2000,1.5972731000000002
NGA,BEEF,2001,1.7752047
NGA,BEEF,2002,1.9579341000000001
NGA,BEEF,2003,1.6400758999999998
NGA,BEEF,2004,1.6798679
NGA,BEEF,2005,1.54514
NGA,BEEF,2006,1.2751656
NGA,BEEF,2007,1.5680524
NGA,BEEF,2008,1.5281314
NGA,BEEF,2009,1.499906
NGA,BEEF,2010,1.3573566000000001
NGA,BEEF,2011,1.5092348999999998
NGA,BEEF,2012,1.2139407
NGA,BEEF,2013,1.5436813
NGA,BEEF,2014,1.5216412
NGA,BEEF,2015,1.4911853000000002
NGA,BEEF,2016,1.4000521000000001
NGA,BEEF,2017,1.3759126
NGA,BEEF,2018,1.3464611000000002
NGA,BEEF,2019,1.3415416999999998
NGA,BEEF,2020,1.3457149
NGA,BEEF,2021,1.3443059
NGA,BEEF,2022,1.3437938999999999
NGA,PIG,1990,0.8753498
NGA,PIG,1991,0.8524939
NGA,PIG,1992,0.8756386999999999
NGA,PIG,1993,0.88812
NGA,PIG,1994,0.8995538000000001
NGA,PIG,1995,0.9656971999999999
NGA,PIG,1996,0.9736615
NGA,PIG,1997,0.9806529
NGA,PIG,1998,0.9866875
NGA,PIG,1999,1.0211963
NGA,PIG,2000,1.0043386
NGA,PIG,2001,1.0281288
NGA,PIG,2002,1.1678541999999998
NGA,PIG,2003,1.0590828
NGA,PIG,2004,1.0740951
NGA,PIG,2005,1.0871205
NGA,PIG,2006,1.101721
NGA,PIG,2007,1.1147486999999998
NGA,PIG,2008,1.1289424
NGA,PIG,2009,1.1433512
NGA,PIG,2010,1.1522763999999999
NGA,PIG,2011,1.1679335
NGA,PIG,2012,1.1635993999999998
NGA,PIG,2013,1.1575719
NGA,PIG,2014,1.1198715
NGA,PIG,2015,1.1521575000000002
NGA,PIG,2016,1.156503
NGA,PIG,2017,1.1423021999999998
NGA,PIG,2018,1.1221638
NGA,PIG,2019,1.0481831
NGA,PIG,2020,1.0576308
NGA,PIG,2021,1.0393280999999999
NGA,PIG,2022,1.0214728000000002
NGA,POULTRY,1990,1.6081926000000002
NGA,POULTRY,1991,1.4857828000000002
NGA,POULTRY,1992,1.4224493
NGA,POULTRY,1993,1.4129782
NGA,POULTRY,1994,1.4036636999999998
NGA,POULTRY,1995,1.3768916000000002
NGA,POULTRY,1996,1.3509993999999999
NGA,POULTRY,1997,1.3258606000000002
NGA,POULTRY,1998,1.300806
NGA,POULTRY,1999,1.2831966000000001
NGA,POULTRY,2000,1.1795482
NGA,POULTRY,2001,1.3852648
NGA,POULTRY,2002,1.4567877
NGA,POULTRY,2003,1.3438403
NGA,POULTRY,2004,1.3714095
NGA,POULTRY,2005,1.3854959
NGA,POULTRY,2006,1.4321795
NGA,POULTRY,2007,1.4622895
NGA,POULTRY,2008,1.5218095
NGA,POULTRY,2009,1.5560281999999999
NGA,POULTRY,2010,1.3596371
NGA,POULTRY,2011,1.0714283000000002
NGA,POULTRY,2012,1.2052729
NGA,POULTRY,2013,0.9892376
NGA,POULTRY,2014,0.9803953000000001
NGA,POULTRY,2015,0.9941460999999999
NGA,POULTRY,2016,0.9896203000000001
NGA,POULTRY,2017,0.9289396000000001
NGA,POULTRY,2018,0.8895867000000001
NGA,POULTRY,2019,0.8603579
NGA,POULTRY,2020,0.8368338
NGA,POULTRY,2021,0.8181699
NGA,POULTRY,2022,0.7988333000000001
NGA,SHEEP,1990,1.5208576
NGA,SHEEP,1991,1.535282
NGA,SHEEP,1992,1.5289573
NGA,SHEEP,1993,1.5513215
NGA,SHEEP,1994,1.7179488999999997
NGA,SHEEP,1995,1.8105471000000002
NGA,SHEEP,1996,1.8937432
NGA,SHEEP,1997,2.0893775000000003
NGA,SHEEP,1998,2.1919151
NGA,SHEEP,1999,2.3008447
NGA,SHEEP,2000,2.4213958
NGA,SHEEP,2001,2.5701951000000003
NGA,SHEEP,2002,2.5461978
NGA,SHEEP,2003,2.5128437000000003
NGA,SHEEP,2004,2.510134
NGA,SHEEP,2005,2.4958366
NGA,SHEEP,2006,2.5037667000000003
NGA,SHEEP,2007,2.4965959
NGA,SHEEP,2008,2.4748131
NGA,SHEEP,2009,2.4686619
NGA,SHEEP,2010,2.5428611
NGA,SHEEP,2011,2.0635102
NGA,SHEEP,2012,1.7873131999999998
NGA,SHEEP,2013,1.9190977999999999
NGA,SHEEP,2014,1.9155386000000003
NGA,SHEEP,2015,1.9122941999999998
NGA,SHEEP,2016,1.8323619
NGA,SHEEP,2017,1.8318502
NGA,SHEEP,2018,1.7748511000000002
NGA,SHEEP,2019,1.7384186000000001
NGA,SHEEP,2020,1.7329556000000002
NGA,SHEEP,2021,1.7282968
NGA,SHEEP,2022,1.7223641
