LOCATION,SUBJECT,TIME,VALUE
PAK,BEEF,1990,4.3343945
PAK,BEEF,1991,4.398314
PAK,BEEF,1992,4.4978063
PAK,BEEF,1993,4.6025704
PAK,BEEF,1994,4.7160498
PAK,BEEF,1995,4.82572
PAK,BEEF,1996,3.9841447
PAK,BEEF,1997,4.483575599999999
PAK,BEEF,1998,4.4772590999999995
PAK,BEEF,1999,4.480844599999999
PAK,BEEF,2000,4.4736688
PAK,BEEF,2001,4.482767900000001
PAK,BEEF,2002,4.4954639
PAK,BEEF,2003,4.5097873
PAK,BEEF,2004,4.5374941
PAK,BEEF,2005,4.5675341
PAK,BEEF,2006,5.8168755
PAK,BEEF,2007,5.8626069
PAK,BEEF,2008,5.861458
PAK,BEEF,2009,5.9097375
PAK,BEEF,2010,5.9641815000000005
PAK,BEEF,2011,6.0518699
PAK,BEEF,2012,6.0644874
PAK,BEEF,2013,6.149962
PAK,BEEF,2014,6.1852507
PAK,BEEF,2015,6.2112027
PAK,BEEF,2016,6.3564115999999995
PAK,BEEF,2017,6.4536945
PAK,BEEF,2018,6.4001364
PAK,BEEF,2019,6.3949239
PAK,BEEF,2020,6.4905845
PAK,BEEF,2021,6.520376799999999
PAK,BEEF,2022,6.559087299999999
PAK,PIG,1990,1.4e-06
PAK,PIG,1991,1.3e-06
PAK,PIG,1992,1.3e-06
PAK,PIG,1993,1.3e-06
PAK,PIG,1994,1.2e-06
PAK,PIG,1995,1.2e-06
PAK,PIG,1996,0.00010590000000000001
PAK,PIG,1997,6.6e-06
PAK,PIG,1998,1.83e-05
PAK,PIG,1999,1.7899999999999998e-05
PAK,PIG,2000,1.1e-06
PAK,PIG,2001,1e-06
PAK,PIG,2002,5.9e-06
PAK,PIG,2003,0.0006765
PAK,PIG,2004,0.0020853
PAK,PIG,2005,0.0002995
PAK,PIG,2006,0.0009538
PAK,PIG,2007,0.0001075
PAK,PIG,2008,1e-05
PAK,PIG,2009,7.049999999999999e-05
PAK,PIG,2010,0.00023369999999999996
PAK,PIG,2011,2.7300000000000003e-05
PAK,PIG,2012,2.6700000000000002e-05
PAK,PIG,2013,2.62e-05
PAK,PIG,2014,8e-07
PAK,PIG,2015,8e-07
PAK,PIG,2016,8e-07
PAK,PIG,2017,8e-07
PAK,PIG,2018,7e-07
PAK,PIG,2019,3.8e-06
PAK,PIG,2020,3.7000000000000006e-06
PAK,PIG,2021,3.7000000000000006e-06
PAK,PIG,2022,3.6000000000000003e-06
PAK,POULTRY,1990,1.3133572
PAK,POULTRY,1991,1.2310265
PAK,POULTRY,1992,1.339646
PAK,POULTRY,1993,2.0297746
PAK,POULTRY,1994,2.2073197
PAK,POULTRY,1995,2.2392411
PAK,POULTRY,1996,2.5134281
PAK,POULTRY,1997,2.6700781000000005
PAK,POULTRY,1998,1.9209083999999998
PAK,POULTRY,1999,2.0456953999999996
PAK,POULTRY,2000,2.1089202
PAK,POULTRY,2001,2.13754
PAK,POULTRY,2002,2.1889142999999995
PAK,POULTRY,2003,2.2482564
PAK,POULTRY,2004,2.2382707
PAK,POULTRY,2005,2.2260091
PAK,POULTRY,2006,2.9000557999999996
PAK,POULTRY,2007,3.067858
PAK,POULTRY,2008,3.2573875
PAK,POULTRY,2009,3.4842877999999997
PAK,POULTRY,2010,3.7808902
PAK,POULTRY,2011,4.0051148
PAK,POULTRY,2012,4.2237218
PAK,POULTRY,2013,4.464957
PAK,POULTRY,2014,4.7898583
PAK,POULTRY,2015,5.1137068
PAK,POULTRY,2016,5.469111900000001
PAK,POULTRY,2017,5.8330926
PAK,POULTRY,2018,5.935647900000001
PAK,POULTRY,2019,5.971914
PAK,POULTRY,2020,6.0100318
PAK,POULTRY,2021,6.052453900000001
PAK,POULTRY,2022,6.098527099999999
PAK,SHEEP,1990,3.9553523999999998
PAK,SHEEP,1991,4.1245650000000005
PAK,SHEEP,1992,4.3010307999999995
PAK,SHEEP,1993,4.4836612
PAK,SHEEP,1994,4.6798445
PAK,SHEEP,1995,4.8941615
PAK,SHEEP,1996,3.0290463
PAK,SHEEP,1997,2.9586872000000004
PAK,SHEEP,1998,2.9601743
PAK,SHEEP,1999,2.95883
PAK,SHEEP,2000,2.945809
PAK,SHEEP,2001,2.9744141
PAK,SHEEP,2002,2.9882891
PAK,SHEEP,2003,2.9876837000000003
PAK,SHEEP,2004,2.9956366
PAK,SHEEP,2005,3.0117385
PAK,SHEEP,2006,2.2017259
PAK,SHEEP,2007,2.2004867000000004
PAK,SHEEP,2008,2.2067734
PAK,SHEEP,2009,2.1938795
PAK,SHEEP,2010,2.176182
PAK,SHEEP,2011,2.1591607999999995
PAK,SHEEP,2012,2.1505584
PAK,SHEEP,2013,2.2100615
PAK,SHEEP,2014,2.1872726000000005
PAK,SHEEP,2015,2.1781967
PAK,SHEEP,2016,2.0904003
PAK,SHEEP,2017,2.0662697
PAK,SHEEP,2018,2.0447203999999997
PAK,SHEEP,2019,2.0525371
PAK,SHEEP,2020,2.0423229
PAK,SHEEP,2021,2.0316489
PAK,SHEEP,2022,2.0236085999999998
