LOCATION,SUBJECT,TIME,VALUE
PER,BEEF,1990,3.9602751000000005
PER,BEEF,1991,3.7553777999999998
PER,BEEF,1992,3.5331827000000007
PER,BEEF,1993,3.4128617999999995
PER,BEEF,1994,3.1846454
PER,BEEF,1995,3.38784
PER,BEEF,1996,3.4185964
PER,BEEF,1997,3.6245941
PER,BEEF,1998,3.6376777000000002
PER,BEEF,1999,3.8163425
PER,BEEF,2000,3.7867731
PER,BEEF,2001,3.6771307999999996
PER,BEEF,2002,3.7616898
PER,BEEF,2003,3.8306544000000002
PER,BEEF,2004,3.9380489
PER,BEEF,2005,4.1026105
PER,BEEF,2006,4.253106099999999
PER,BEEF,2007,4.2605110999999996
PER,BEEF,2008,4.0968697
PER,BEEF,2009,4.0769042
PER,BEEF,2010,4.2192367
PER,BEEF,2011,4.3269263
PER,BEEF,2012,4.4479165
PER,BEEF,2013,4.567381
PER,BEEF,2014,4.5619847
PER,BEEF,2015,4.505196499999999
PER,BEEF,2016,4.3746167
PER,BEEF,2017,4.235672599999999
PER,BEEF,2018,4.1635979
PER,BEEF,2019,4.1416514
PER,BEEF,2020,4.1762041
PER,BEEF,2021,4.1969195
PER,BEEF,2022,4.2188358
PER,PIG,1990,2.3772773
PER,PIG,1991,2.4109432
PER,PIG,1992,2.5075789
PER,PIG,1993,2.5451722
PER,PIG,1994,2.5793574
PER,PIG,1995,2.6121648
PER,PIG,1996,2.6645882999999997
PER,PIG,1997,2.7326445
PER,PIG,1998,2.2053821
PER,PIG,1999,2.0280833
PER,PIG,2000,2.7683765
PER,PIG,2001,2.7718889
PER,PIG,2002,2.7217302000000005
PER,PIG,2003,2.6975988999999996
PER,PIG,2004,2.8419076000000003
PER,PIG,2005,2.9763607000000003
PER,PIG,2006,3.0759997
PER,PIG,2007,3.1998452
PER,PIG,2008,3.1830486000000002
PER,PIG,2009,3.1430781000000003
PER,PIG,2010,3.1907014
PER,PIG,2011,3.191792
PER,PIG,2012,3.3069951
PER,PIG,2013,3.4228885
PER,PIG,2014,3.6066269999999996
PER,PIG,2015,3.8136078
PER,PIG,2016,3.914113
PER,PIG,2017,4.102937
PER,PIG,2018,4.1452973
PER,PIG,2019,4.1829627
PER,PIG,2020,4.2730864
PER,PIG,2021,4.3184815
PER,PIG,2022,4.376733
PER,POULTRY,1990,10.0439018
PER,POULTRY,1991,11.6717934
PER,POULTRY,1992,12.4963821
PER,POULTRY,1993,11.621742800000002
PER,POULTRY,1994,11.9404995
PER,POULTRY,1995,13.0901663
PER,POULTRY,1996,14.094543900000001
PER,POULTRY,1997,15.664719400000001
PER,POULTRY,1998,16.523182300000002
PER,POULTRY,1999,17.379740100000003
PER,POULTRY,2000,17.652855499999998
PER,POULTRY,2001,17.5878965
PER,POULTRY,2002,18.6546429
PER,POULTRY,2003,19.110348300000002
PER,POULTRY,2004,18.8529975
PER,POULTRY,2005,20.9533811
PER,POULTRY,2006,22.600149
PER,POULTRY,2007,24.2474688
PER,POULTRY,2008,27.2442899
PER,POULTRY,2009,29.7373881
PER,POULTRY,2010,31.2009549
PER,POULTRY,2011,33.2594023
PER,POULTRY,2012,36.0301779
PER,POULTRY,2013,36.9351845
PER,POULTRY,2014,38.206024400000004
PER,POULTRY,2015,38.1816634
PER,POULTRY,2016,40.2963338
PER,POULTRY,2017,41.7013615
PER,POULTRY,2018,44.4668305
PER,POULTRY,2019,45.045401700000006
PER,POULTRY,2020,45.453849100000006
PER,POULTRY,2021,45.9431935
PER,POULTRY,2022,46.44762
PER,SHEEP,1990,1.4201536
PER,SHEEP,1991,1.1545456
PER,SHEEP,1992,1.1053325
PER,SHEEP,1993,1.0215362
PER,SHEEP,1994,0.9663535
PER,SHEEP,1995,0.9721536
PER,SHEEP,1996,0.9722457
PER,SHEEP,1997,0.9987289
PER,SHEEP,1998,1.0130263000000002
PER,SHEEP,1999,1.2707057
PER,SHEEP,2000,1.2771723999999998
PER,SHEEP,2001,1.2775121
PER,SHEEP,2002,1.2327293
PER,SHEEP,2003,1.2496821000000002
PER,SHEEP,2004,1.2974881999999999
PER,SHEEP,2005,1.285785
PER,SHEEP,2006,1.2800515
PER,SHEEP,2007,1.2602818999999998
PER,SHEEP,2008,1.2219018
PER,SHEEP,2009,1.2020206
PER,SHEEP,2010,1.1924541000000002
PER,SHEEP,2011,1.1949227
PER,SHEEP,2012,1.2124661
PER,SHEEP,2013,1.1904868999999998
PER,SHEEP,2014,1.1533117
PER,SHEEP,2015,1.0957161
PER,SHEEP,2016,1.1019055
PER,SHEEP,2017,1.0669848999999998
PER,SHEEP,2018,1.0544299
PER,SHEEP,2019,1.0601728000000001
PER,SHEEP,2020,1.054886
PER,SHEEP,2021,1.0537922
PER,SHEEP,2022,1.0515
