LOCATION,SUBJECT,TIME,VALUE
PHL,BEEF,1990,1.5671757
PHL,BEEF,1991,1.5383741000000002
PHL,BEEF,1992,1.59998
PHL,BEEF,1993,1.6863488000000002
PHL,BEEF,1994,1.8552061000000002
PHL,BEEF,1995,2.1174904999999997
PHL,BEEF,1996,2.3445851
PHL,BEEF,1997,2.6932061000000003
PHL,BEEF,1998,2.6346407000000003
PHL,BEEF,1999,3.1704119
PHL,BEEF,2000,3.365193
PHL,BEEF,2001,3.1483761
PHL,BEEF,2002,3.2148597999999997
PHL,BEEF,2003,3.1952152000000003
PHL,BEEF,2004,3.3878362999999996
PHL,BEEF,2005,3.0614479
PHL,BEEF,2006,2.9787314
PHL,BEEF,2007,3.3292022000000006
PHL,BEEF,2008,3.3088618999999997
PHL,BEEF,2009,3.0292974
PHL,BEEF,2010,3.1499422999999998
PHL,BEEF,2011,3.0178683
PHL,BEEF,2012,2.9018894
PHL,BEEF,2013,2.8289576000000003
PHL,BEEF,2014,3.0468552000000004
PHL,BEEF,2015,3.0641243
PHL,BEEF,2016,3.0791609
PHL,BEEF,2017,3.1226701
PHL,BEEF,2018,3.1282846
PHL,BEEF,2019,3.1186746
PHL,BEEF,2020,3.1451846000000003
PHL,BEEF,2021,3.1595876
PHL,BEEF,2022,3.1773027000000003
PHL,PIG,1990,8.6226125
PHL,PIG,1991,8.6181594
PHL,PIG,1992,7.8934951
PHL,PIG,1993,8.5554285
PHL,PIG,1994,8.657531
PHL,PIG,1995,9.0942374
PHL,PIG,1996,11.3862189
PHL,PIG,1997,11.7207273
PHL,PIG,1998,11.952792599999999
PHL,PIG,1999,12.3919523
PHL,PIG,2000,12.4998224
PHL,PIG,2001,12.7141416
PHL,PIG,2002,13.145701999999998
PHL,PIG,2003,13.1992475
PHL,PIG,2004,12.7834499
PHL,PIG,2005,12.9891535
PHL,PIG,2006,14.0686695
PHL,PIG,2007,14.3049497
PHL,PIG,2008,14.143906900000001
PHL,PIG,2009,14.2138716
PHL,PIG,2010,14.3679383
PHL,PIG,2011,14.141187200000001
PHL,PIG,2012,14.0123364
PHL,PIG,2013,14.189064499999999
PHL,PIG,2014,14.039832999999998
PHL,PIG,2015,14.356156400000001
PHL,PIG,2016,14.8553068
PHL,PIG,2017,14.647592300000001
PHL,PIG,2018,14.925165300000002
PHL,PIG,2019,14.6652791
PHL,PIG,2020,14.9066437
PHL,PIG,2021,14.906243
PHL,PIG,2022,14.974363199999999
PHL,POULTRY,1990,3.4372623
PHL,POULTRY,1991,3.9797595
PHL,POULTRY,1992,4.159222799999999
PHL,POULTRY,1993,4.806183
PHL,POULTRY,1994,4.918807900000001
PHL,POULTRY,1995,5.2930649
PHL,POULTRY,1996,5.8617360000000005
PHL,POULTRY,1997,6.2463419
PHL,POULTRY,1998,6.1088827000000006
PHL,POULTRY,1999,6.3222498
PHL,POULTRY,2000,6.517590599999999
PHL,POULTRY,2001,6.9292795
PHL,POULTRY,2002,7.2449164999999995
PHL,POULTRY,2003,7.212715400000001
PHL,POULTRY,2004,7.3380517
PHL,POULTRY,2005,7.175182899999999
PHL,POULTRY,2006,7.221961500000001
PHL,POULTRY,2007,8.0581756
PHL,POULTRY,2008,8.6106358
PHL,POULTRY,2009,8.7435884
PHL,POULTRY,2010,9.3242242
PHL,POULTRY,2011,9.754764400000001
PHL,POULTRY,2012,10.537574000000001
PHL,POULTRY,2013,10.8234759
PHL,POULTRY,2014,11.519715300000001
PHL,POULTRY,2015,12.2148333
PHL,POULTRY,2016,12.538101300000001
PHL,POULTRY,2017,12.685316199999999
PHL,POULTRY,2018,13.0136856
PHL,POULTRY,2019,13.497230900000002
PHL,POULTRY,2020,13.7072547
PHL,POULTRY,2021,13.9204883
PHL,POULTRY,2022,14.1325214
PHL,SHEEP,1990,0.3862094
PHL,SHEEP,1991,0.34692459999999997
PHL,SHEEP,1992,0.36036929999999995
PHL,SHEEP,1993,0.3776011
PHL,SHEEP,1994,0.39018109999999995
PHL,SHEEP,1995,0.3882255
PHL,SHEEP,1996,0.3778121
PHL,SHEEP,1997,0.3739347
PHL,SHEEP,1998,0.37157629999999997
PHL,SHEEP,1999,0.3881031
PHL,SHEEP,2000,0.3864531
PHL,SHEEP,2001,0.3771078
PHL,SHEEP,2002,0.3690184
PHL,SHEEP,2003,0.3557552
PHL,SHEEP,2004,0.3539715
PHL,SHEEP,2005,0.3735364
PHL,SHEEP,2006,0.4562590999999999
PHL,SHEEP,2007,0.49410820000000005
PHL,SHEEP,2008,0.5225890000000001
PHL,SHEEP,2009,0.5251523
PHL,SHEEP,2010,0.5266491
PHL,SHEEP,2011,0.5197368
PHL,SHEEP,2012,0.49932079999999995
PHL,SHEEP,2013,0.49411109999999997
PHL,SHEEP,2014,0.49439849999999996
PHL,SHEEP,2015,0.497255
PHL,SHEEP,2016,0.5006510000000001
PHL,SHEEP,2017,0.5120239000000001
PHL,SHEEP,2018,0.5102604000000001
PHL,SHEEP,2019,0.5163545999999999
PHL,SHEEP,2020,0.5173885
PHL,SHEEP,2021,0.5212260999999999
PHL,SHEEP,2022,0.5246696999999999
