LOCATION,SUBJECT,TIME,VALUE
SAU,BEEF,1990,3.0170654999999997
SAU,BEEF,1991,3.4515276
SAU,BEEF,1992,3.5320998999999995
SAU,BEEF,1993,1.9870362000000001
SAU,BEEF,1994,2.0965911
SAU,BEEF,1995,3.6113708
SAU,BEEF,1996,2.4567536
SAU,BEEF,1997,2.3183867
SAU,BEEF,1998,2.8868296
SAU,BEEF,1999,2.0638826
SAU,BEEF,2000,2.8900727
SAU,BEEF,2001,1.7101468
SAU,BEEF,2002,2.7155726000000002
SAU,BEEF,2003,2.6878892999999997
SAU,BEEF,2004,3.4713913
SAU,BEEF,2005,3.3019623
SAU,BEEF,2006,4.1395728
SAU,BEEF,2007,4.2565124
SAU,BEEF,2008,3.8048242999999995
SAU,BEEF,2009,4.227939
SAU,BEEF,2010,4.6305572999999995
SAU,BEEF,2011,4.3687402
SAU,BEEF,2012,4.9817194
SAU,BEEF,2013,4.3684342
SAU,BEEF,2014,4.2571512
SAU,BEEF,2015,4.5248601
SAU,BEEF,2016,4.1340241
SAU,BEEF,2017,4.167098200000001
SAU,BEEF,2018,3.9845831
SAU,BEEF,2019,4.019768
SAU,BEEF,2020,4.054397499999999
SAU,BEEF,2021,4.0906275999999995
SAU,BEEF,2022,4.130633400000001
SAU,PIG,1990,9.1e-06
SAU,PIG,1991,8.8e-06
SAU,PIG,1992,8.5e-06
SAU,PIG,1993,8.3e-06
SAU,PIG,1994,8.1e-06
SAU,PIG,1995,7.9e-06
SAU,PIG,1996,7.699999999999999e-06
SAU,PIG,1997,7.6e-06
SAU,PIG,1998,7.499999999999999e-06
SAU,PIG,1999,7.2999999999999996e-06
SAU,PIG,2000,0.0788891
SAU,PIG,2001,0.1016429
SAU,PIG,2002,0.0925796
SAU,PIG,2003,0.07863830000000001
SAU,PIG,2004,0.0836148
SAU,PIG,2005,0.1546939
SAU,PIG,2006,0.1316095
SAU,PIG,2007,0.167076
SAU,PIG,2008,0.0006946000000000001
SAU,PIG,2009,0.0015242
SAU,PIG,2010,0.1766184
SAU,PIG,2011,0.2376929
SAU,PIG,2012,0.24660900000000002
SAU,PIG,2013,0.1206319
SAU,PIG,2014,0.20021879999999997
SAU,PIG,2015,0.19756600000000002
SAU,PIG,2016,0.1687592
SAU,PIG,2017,0.49523690000000004
SAU,PIG,2018,0.5067624
SAU,PIG,2019,0.49805950000000004
SAU,PIG,2020,0.48989499999999997
SAU,PIG,2021,0.4822116
SAU,PIG,2022,0.47502690000000003
SAU,POULTRY,1990,25.612354
SAU,POULTRY,1991,27.3925026
SAU,POULTRY,1992,23.9843524
SAU,POULTRY,1993,22.1894707
SAU,POULTRY,1994,20.763741500000002
SAU,POULTRY,1995,26.574999699999996
SAU,POULTRY,1996,25.2399826
SAU,POULTRY,1997,27.866464500000003
SAU,POULTRY,1998,31.018516700000003
SAU,POULTRY,1999,33.837093200000005
SAU,POULTRY,2000,34.528338299999994
SAU,POULTRY,2001,36.7773471
SAU,POULTRY,2002,34.66507360000001
SAU,POULTRY,2003,34.3555223
SAU,POULTRY,2004,31.4432662
SAU,POULTRY,2005,35.942226500000004
SAU,POULTRY,2006,33.9105237
SAU,POULTRY,2007,34.953846899999995
SAU,POULTRY,2008,36.541344099999996
SAU,POULTRY,2009,38.970434000000004
SAU,POULTRY,2010,39.7010297
SAU,POULTRY,2011,38.594604100000005
SAU,POULTRY,2012,37.5007751
SAU,POULTRY,2013,41.5678797
SAU,POULTRY,2014,41.038132700000006
SAU,POULTRY,2015,42.9322178
SAU,POULTRY,2016,41.5419876
SAU,POULTRY,2017,34.566185
SAU,POULTRY,2018,32.2352534
SAU,POULTRY,2019,32.4257731
SAU,POULTRY,2020,32.528865100000004
SAU,POULTRY,2021,32.6639314
SAU,POULTRY,2022,32.8221959
SAU,SHEEP,1990,5.6665211
SAU,SHEEP,1991,5.7155251
SAU,SHEEP,1992,5.9145292000000005
SAU,SHEEP,1993,7.5145364
SAU,SHEEP,1994,6.578456500000001
SAU,SHEEP,1995,7.255303200000001
SAU,SHEEP,1996,6.9755106
SAU,SHEEP,1997,6.6995687
SAU,SHEEP,1998,6.25427
SAU,SHEEP,1999,6.3438215
SAU,SHEEP,2000,6.5754087
SAU,SHEEP,2001,5.8662602999999995
SAU,SHEEP,2002,5.785022799999999
SAU,SHEEP,2003,5.9054816
SAU,SHEEP,2004,5.8491197999999995
SAU,SHEEP,2005,6.1844197
SAU,SHEEP,2006,5.2837699
SAU,SHEEP,2007,5.493328599999999
SAU,SHEEP,2008,4.6970082
SAU,SHEEP,2009,4.3249997
SAU,SHEEP,2010,4.9944617
SAU,SHEEP,2011,5.378445200000001
SAU,SHEEP,2012,5.5128474999999995
SAU,SHEEP,2013,5.436596400000001
SAU,SHEEP,2014,5.655653900000001
SAU,SHEEP,2015,5.604728
SAU,SHEEP,2016,4.716008
SAU,SHEEP,2017,4.4525399000000006
SAU,SHEEP,2018,3.8558057999999997
SAU,SHEEP,2019,3.8159004000000003
SAU,SHEEP,2020,3.7938593999999997
SAU,SHEEP,2021,3.7830331
SAU,SHEEP,2022,3.756824
