LOCATION,SUBJECT,TIME,VALUE
TUR,BEEF,1990,4.9548765
TUR,BEEF,1991,4.7606316
TUR,BEEF,1992,4.241145400000001
TUR,BEEF,1993,4.1302359
TUR,BEEF,1994,3.7829763
TUR,BEEF,1995,3.7028102999999994
TUR,BEEF,1996,3.8082811000000003
TUR,BEEF,1997,4.4637687
TUR,BEEF,1998,4.1496261
TUR,BEEF,1999,3.9862281999999998
TUR,BEEF,2000,3.9677119
TUR,BEEF,2001,3.6385002
TUR,BEEF,2002,3.5338466
TUR,BEEF,2003,3.1886083999999997
TUR,BEEF,2004,3.9270114
TUR,BEEF,2005,3.3731101999999997
TUR,BEEF,2006,3.5232108999999996
TUR,BEEF,2007,4.3443344
TUR,BEEF,2008,3.7261477999999997
TUR,BEEF,2009,3.1603591
TUR,BEEF,2010,6.3107315999999996
TUR,BEEF,2011,6.9831270000000005
TUR,BEEF,2012,7.409068700000001
TUR,BEEF,2013,7.731213799999999
TUR,BEEF,2014,7.7531717
TUR,BEEF,2015,9.1290207
TUR,BEEF,2016,9.2843804
TUR,BEEF,2017,8.4944931
TUR,BEEF,2018,8.524433
TUR,BEEF,2019,8.573965199999998
TUR,BEEF,2020,8.749995199999999
TUR,BEEF,2021,8.895952000000001
TUR,BEEF,2022,9.030142
TUR,PIG,1990,0.005831
TUR,PIG,1991,0.005335100000000001
TUR,PIG,1992,0.0041988
TUR,PIG,1993,0.0029476999999999997
TUR,PIG,1994,0.004621899999999999
TUR,PIG,1995,0.0045491
TUR,PIG,1996,0.0014452
TUR,PIG,1997,0.0011124000000000002
TUR,PIG,1998,0.0016546
TUR,PIG,1999,0.0014038
TUR,PIG,2000,0.0009509000000000001
TUR,PIG,2001,0.0007667
TUR,PIG,2002,0.000552
TUR,PIG,2003,0.0011815
TUR,PIG,2004,0.008207700000000002
TUR,PIG,2005,0.0047108
TUR,PIG,2006,0.0123653
TUR,PIG,2007,0.0070393
TUR,PIG,2008,2.1000000000000002e-06
TUR,PIG,2009,2.1000000000000002e-06
TUR,PIG,2010,2e-06
TUR,PIG,2011,2e-06
TUR,PIG,2012,2e-06
TUR,PIG,2013,2e-06
TUR,PIG,2014,1.9e-06
TUR,PIG,2015,1.9e-06
TUR,PIG,2016,1.9e-06
TUR,PIG,2017,1.8000000000000001e-06
TUR,PIG,2018,1.8000000000000001e-06
TUR,PIG,2019,1.8000000000000001e-06
TUR,PIG,2020,1.8000000000000001e-06
TUR,PIG,2021,1.7e-06
TUR,PIG,2022,1.7e-06
TUR,POULTRY,1990,6.7662573
TUR,POULTRY,1991,6.6482695000000005
TUR,POULTRY,1992,6.9502162
TUR,POULTRY,1993,7.1303591
TUR,POULTRY,1994,7.296185
TUR,POULTRY,1995,7.542680099999999
TUR,POULTRY,1996,6.3237822999999995
TUR,POULTRY,1997,6.934105499999999
TUR,POULTRY,1998,7.1354531
TUR,POULTRY,1999,8.5457071
TUR,POULTRY,2000,9.2677864
TUR,POULTRY,2001,8.4077909
TUR,POULTRY,2002,9.6045738
TUR,POULTRY,2003,11.7791546
TUR,POULTRY,2004,11.680790199999999
TUR,POULTRY,2005,12.142769900000001
TUR,POULTRY,2006,11.4854921
TUR,POULTRY,2007,13.2771907
TUR,POULTRY,2008,13.078027699999998
TUR,POULTRY,2009,14.938362099999999
TUR,POULTRY,2010,16.2617634
TUR,POULTRY,2011,16.9111472
TUR,POULTRY,2012,17.1953295
TUR,POULTRY,2013,16.5831667
TUR,POULTRY,2014,17.5013147
TUR,POULTRY,2015,18.2069811
TUR,POULTRY,2016,17.726218300000003
TUR,POULTRY,2017,19.4274354
TUR,POULTRY,2018,19.265173899999997
TUR,POULTRY,2019,19.351454399999998
TUR,POULTRY,2020,19.638824
TUR,POULTRY,2021,19.8811652
TUR,POULTRY,2022,20.1073073
TUR,SHEEP,1990,5.9223195
TUR,SHEEP,1991,5.8331865
TUR,SHEEP,1992,5.6868262000000005
TUR,SHEEP,1993,5.5821274
TUR,SHEEP,1994,4.9617082
TUR,SHEEP,1995,6.1464495999999995
TUR,SHEEP,1996,5.4029574
TUR,SHEEP,1997,5.4820566
TUR,SHEEP,1998,5.3405022
TUR,SHEEP,1999,5.1799614
TUR,SHEEP,2000,5.1901964000000005
TUR,SHEEP,2001,4.8056042
TUR,SHEEP,2002,4.4914924
TUR,SHEEP,2003,4.1545468
TUR,SHEEP,2004,4.1763333
TUR,SHEEP,2005,4.0829447
TUR,SHEEP,2006,4.0330711
TUR,SHEEP,2007,4.0830826
TUR,SHEEP,2008,3.9997147000000006
TUR,SHEEP,2009,3.6956976000000004
TUR,SHEEP,2010,3.3410168
TUR,SHEEP,2011,3.5410657999999997
TUR,SHEEP,2012,3.8007888999999997
TUR,SHEEP,2013,4.0786469
TUR,SHEEP,2014,4.3325065
TUR,SHEEP,2015,4.554081299999999
TUR,SHEEP,2016,4.5039115999999995
TUR,SHEEP,2017,4.375587
TUR,SHEEP,2018,4.3076217
TUR,SHEEP,2019,4.3646293
TUR,SHEEP,2020,4.315417500000001
TUR,SHEEP,2021,4.2784239
TUR,SHEEP,2022,4.2634275
