LOCATION,SUBJECT,TIME,VALUE
UKR,BEEF,1990,21.3912312
UKR,BEEF,1991,20.9968664
UKR,BEEF,1992,20.7157672
UKR,BEEF,1993,17.5436388
UKR,BEEF,1994,15.8571783
UKR,BEEF,1995,13.4985116
UKR,BEEF,1996,11.023234500000001
UKR,BEEF,1997,10.9188399
UKR,BEEF,1998,9.585841699999998
UKR,BEEF,1999,9.2102285
UKR,BEEF,2000,9.021589
UKR,BEEF,2001,7.687365
UKR,BEEF,2002,8.5125138
UKR,BEEF,2003,8.4945894
UKR,BEEF,2004,8.0042263
UKR,BEEF,2005,8.2491852
UKR,BEEF,2006,8.8392748
UKR,BEEF,2007,7.9983894
UKR,BEEF,2008,7.584927
UKR,BEEF,2009,6.796438900000001
UKR,BEEF,2010,6.414137
UKR,BEEF,2011,6.0327457
UKR,BEEF,2012,5.7949755
UKR,BEEF,2013,6.3067652999999995
UKR,BEEF,2014,6.0977872
UKR,BEEF,2015,5.4905349999999995
UKR,BEEF,2016,5.3373203
UKR,BEEF,2017,5.0153053
UKR,BEEF,2018,5.002363
UKR,BEEF,2019,5.0328243
UKR,BEEF,2020,5.032841400000001
UKR,BEEF,2021,5.091976
UKR,BEEF,2022,5.1480074
UKR,PIG,1990,18.123219199999998
UKR,PIG,1991,17.9992168
UKR,PIG,1992,17.7162592
UKR,PIG,1993,15.327326800000002
UKR,PIG,1994,13.120254300000001
UKR,PIG,1995,12.3376745
UKR,PIG,1996,12.1438325
UKR,PIG,1997,10.8894573
UKR,PIG,1998,10.6067839
UKR,PIG,1999,10.1071448
UKR,PIG,2000,10.9985285
UKR,PIG,2001,9.5535617
UKR,PIG,2002,9.7936516
UKR,PIG,2003,10.8468261
UKR,PIG,2004,9.899793699999998
UKR,PIG,2005,9.0455213
UKR,PIG,2006,9.7918674
UKR,PIG,2007,11.9428086
UKR,PIG,2008,13.5022226
UKR,PIG,2009,11.6608383
UKR,PIG,2010,13.0429715
UKR,PIG,2011,13.7375684
UKR,PIG,2012,16.069200400000003
UKR,PIG,2013,16.1607196
UKR,PIG,2014,13.405141500000001
UKR,PIG,2015,12.863292199999998
UKR,PIG,2016,13.144039900000001
UKR,PIG,2017,13.010407199999998
UKR,PIG,2018,12.5002517
UKR,PIG,2019,12.542145800000002
UKR,PIG,2020,12.8699399
UKR,PIG,2021,13.0238695
UKR,PIG,2022,13.2267288
UKR,POULTRY,1990,8.541231199999999
UKR,POULTRY,1991,7.2371476999999995
UKR,POULTRY,1992,8.5437189
UKR,POULTRY,1993,6.2371947
UKR,POULTRY,1994,4.5563614
UKR,POULTRY,1995,4.0640077
UKR,POULTRY,1996,5.3716379000000005
UKR,POULTRY,1997,4.2364557000000005
UKR,POULTRY,1998,4.4429344
UKR,POULTRY,1999,5.2081289
UKR,POULTRY,2000,4.4134005
UKR,POULTRY,2001,6.0591675
UKR,POULTRY,2002,7.243225999999999
UKR,POULTRY,2003,8.2240398
UKR,POULTRY,2004,12.806773399999999
UKR,POULTRY,2005,12.522279699999999
UKR,POULTRY,2006,14.5836678
UKR,POULTRY,2007,16.2277447
UKR,POULTRY,2008,20.4380225
UKR,POULTRY,2009,20.936123199999997
UKR,POULTRY,2010,21.2086516
UKR,POULTRY,2011,20.029193
UKR,POULTRY,2012,22.1162296
UKR,POULTRY,2013,21.9361671
UKR,POULTRY,2014,21.244399899999998
UKR,POULTRY,2015,21.141837
UKR,POULTRY,2016,20.4914505
UKR,POULTRY,2017,21.0617429
UKR,POULTRY,2018,21.0627491
UKR,POULTRY,2019,22.2816961
UKR,POULTRY,2020,22.7126062
UKR,POULTRY,2021,23.1749699
UKR,POULTRY,2022,23.6303217
UKR,SHEEP,1990,0.5912312
UKR,SHEEP,1991,0.6144123
UKR,SHEEP,1992,0.6990203
UKR,SHEEP,1993,0.5144447
UKR,SHEEP,1994,0.733531
UKR,SHEEP,1995,0.660101
UKR,SHEEP,1996,0.5434074999999999
UKR,SHEEP,1997,0.4159692
UKR,SHEEP,1998,0.3640049
UKR,SHEEP,1999,0.3369816
UKR,SHEEP,2000,0.3029563
UKR,SHEEP,2001,0.2767126
UKR,SHEEP,2002,0.3013467
UKR,SHEEP,2003,0.303319
UKR,SHEEP,2004,0.307059
UKR,SHEEP,2005,0.30430009999999996
UKR,SHEEP,2006,0.2756131
UKR,SHEEP,2007,0.2902597
UKR,SHEEP,2008,0.3261168
UKR,SHEEP,2009,0.340587
UKR,SHEEP,2010,0.4055408
UKR,SHEEP,2011,0.37852140000000006
UKR,SHEEP,2012,0.38262809999999997
UKR,SHEEP,2013,0.365123
UKR,SHEEP,2014,0.28252940000000004
UKR,SHEEP,2015,0.26986809999999994
UKR,SHEEP,2016,0.26541609999999993
UKR,SHEEP,2017,0.2687005
UKR,SHEEP,2018,0.2760042
UKR,SHEEP,2019,0.2824938
UKR,SHEEP,2020,0.28714059999999997
UKR,SHEEP,2021,0.29161309999999996
UKR,SHEEP,2022,0.2953045
