LOCATION,SUBJECT,TIME,VALUE
USA,BEEF,1990,30.6228919
USA,BEEF,1991,30.407839799999998
USA,BEEF,1992,30.304768900000003
USA,BEEF,1993,29.662650899999996
USA,BEEF,1994,30.712981199999998
USA,BEEF,1995,30.898023600000002
USA,BEEF,1996,30.995871
USA,BEEF,1997,30.269265899999997
USA,BEEF,1998,30.616866499999997
USA,BEEF,1999,30.937462699999998
USA,BEEF,2000,31.036626000000002
USA,BEEF,2001,30.3520238
USA,BEEF,2002,31.013357300000003
USA,BEEF,2003,29.7807308
USA,BEEF,2004,30.3112839
USA,BEEF,2005,30.035469399999997
USA,BEEF,2006,30.164036600000003
USA,BEEF,2007,29.904037899999995
USA,BEEF,2008,28.720723200000002
USA,BEEF,2009,28.057834999999997
USA,BEEF,2010,27.2893544
USA,BEEF,2011,26.306813899999998
USA,BEEF,2012,26.141676500000003
USA,BEEF,2013,25.6654797
USA,BEEF,2014,24.7007723
USA,BEEF,2015,24.6724113
USA,BEEF,2016,25.373575600000002
USA,BEEF,2017,25.988696899999997
USA,BEEF,2018,26.0908679
USA,BEEF,2019,26.729348600000005
USA,BEEF,2020,27.209727299999997
USA,BEEF,2021,27.1937466
USA,BEEF,2022,26.978039399999997
USA,PIG,1990,22.459191600000004
USA,PIG,1991,22.7558947
USA,PIG,1992,24.016355100000002
USA,PIG,1993,23.7016682
USA,PIG,1994,24.0081705
USA,PIG,1995,23.6632899
USA,PIG,1996,22.1057919
USA,PIG,1997,21.8688427
USA,PIG,1998,23.5091395
USA,PIG,1999,24.047612899999997
USA,PIG,2000,23.391285
USA,PIG,2001,22.96809
USA,PIG,2002,23.562068300000004
USA,PIG,2003,23.708607399999998
USA,PIG,2004,23.5069838
USA,PIG,2005,22.9139427
USA,PIG,2006,22.630349399999997
USA,PIG,2007,23.265887399999997
USA,PIG,2008,22.6620875
USA,PIG,2009,22.931324800000002
USA,PIG,2010,21.877558899999997
USA,PIG,2011,20.895922
USA,PIG,2012,20.9321697
USA,PIG,2013,21.4667545
USA,PIG,2014,21.235802300000003
USA,PIG,2015,22.7733361
USA,PIG,2016,22.9426107
USA,PIG,2017,22.9373338
USA,PIG,2018,23.049306899999998
USA,PIG,2019,23.302141
USA,PIG,2020,23.461043
USA,PIG,2021,23.4232908
USA,PIG,2022,23.407068600000002
USA,POULTRY,1990,35.014585
USA,POULTRY,1991,36.461940399999996
USA,POULTRY,1992,37.868961999999996
USA,POULTRY,1993,38.5268657
USA,POULTRY,1994,39.125945
USA,POULTRY,1995,38.9817724
USA,POULTRY,1996,39.738957899999996
USA,POULTRY,1997,39.987087200000005
USA,POULTRY,1998,40.30113720000001
USA,POULTRY,1999,42.7514417
USA,POULTRY,2000,43.1857121
USA,POULTRY,2001,43.1920651
USA,POULTRY,2002,45.225686200000005
USA,POULTRY,2003,45.5986811
USA,POULTRY,2004,46.581406099999995
USA,POULTRY,2005,47.2657124
USA,POULTRY,2006,47.517062700000004
USA,POULTRY,2007,46.7714613
USA,POULTRY,2008,46.6285528
USA,POULTRY,2009,44.5567266
USA,POULTRY,2010,45.5909378
USA,POULTRY,2011,46.5992513
USA,POULTRY,2012,44.6225904
USA,POULTRY,2013,44.451711200000005
USA,POULTRY,2014,45.1854058
USA,POULTRY,2015,47.924989200000006
USA,POULTRY,2016,48.5466934
USA,POULTRY,2017,48.9953851
USA,POULTRY,2018,49.6828619
USA,POULTRY,2019,50.0713589
USA,POULTRY,2020,49.4850945
USA,POULTRY,2021,49.5456446
USA,POULTRY,2022,49.6591448
USA,SHEEP,1990,0.6285258
USA,SHEEP,1991,0.6211850999999999
USA,SHEEP,1992,0.6022854000000001
USA,SHEEP,1993,0.5848554
USA,SHEEP,1994,0.5261241999999999
USA,SHEEP,1995,0.5197248
USA,SHEEP,1996,0.49520810000000004
USA,SHEEP,1997,0.4875598
USA,SHEEP,1998,0.5209074
USA,SHEEP,1999,0.5125029999999999
USA,SHEEP,2000,0.5010013
USA,SHEEP,2001,0.5152132
USA,SHEEP,2002,0.5288689
USA,SHEEP,2003,0.5052985
USA,SHEEP,2004,0.508374
USA,SHEEP,2005,0.48115290000000005
USA,SHEEP,2006,0.4771106
USA,SHEEP,2007,0.5113724000000001
USA,SHEEP,2008,0.45096140000000007
USA,SHEEP,2009,0.44158869999999995
USA,SHEEP,2010,0.4098919
USA,SHEEP,2011,0.3784163
USA,SHEEP,2012,0.3815038
USA,SHEEP,2013,0.4095002
USA,SHEEP,2014,0.43863640000000004
USA,SHEEP,2015,0.45495699999999994
USA,SHEEP,2016,0.45283379999999995
USA,SHEEP,2017,0.48693690000000006
USA,SHEEP,2018,0.46890909999999997
USA,SHEEP,2019,0.44835470000000005
USA,SHEEP,2020,0.4384965
USA,SHEEP,2021,0.4266834
USA,SHEEP,2022,0.42829409999999996
