LOCATION,SUBJECT,TIME,VALUE
WLD,BEEF,1990,5.2873965
WLD,BEEF,1991,5.399342400000001
WLD,BEEF,1992,5.744485299999999
WLD,BEEF,1993,5.6622831
WLD,BEEF,1994,5.785518
WLD,BEEF,1995,5.8107739
WLD,BEEF,1996,5.7957113
WLD,BEEF,1997,5.854533
WLD,BEEF,1998,5.7816491999999995
WLD,BEEF,1999,5.8264592
WLD,BEEF,2000,6.610947
WLD,BEEF,2001,6.532807
WLD,BEEF,2002,6.6916769
WLD,BEEF,2003,6.700548700000001
WLD,BEEF,2004,6.7103733
WLD,BEEF,2005,6.7494546
WLD,BEEF,2006,6.8883196
WLD,BEEF,2007,6.970312799999999
WLD,BEEF,2008,6.8066589
WLD,BEEF,2009,6.6667004
WLD,BEEF,2010,6.6162864
WLD,BEEF,2011,6.4723654
WLD,BEEF,2012,6.4380854
WLD,BEEF,2013,6.4942453
WLD,BEEF,2014,6.3870355000000005
WLD,BEEF,2015,6.3394497
WLD,BEEF,2016,6.380874700000001
WLD,BEEF,2017,6.3894578
WLD,BEEF,2018,6.408495200000001
WLD,BEEF,2019,6.4313039000000005
WLD,BEEF,2020,6.4587368
WLD,BEEF,2021,6.4556512999999995
WLD,BEEF,2022,6.452659400000001
WLD,PIG,1990,6.703514200000001
WLD,PIG,1991,7.0048227
WLD,PIG,1992,7.0875925
WLD,PIG,1993,7.6930254
WLD,PIG,1994,7.9859855
WLD,PIG,1995,7.9640854999999995
WLD,PIG,1996,7.8251988
WLD,PIG,1997,8.2760616
WLD,PIG,1998,8.6808645
WLD,PIG,1999,8.6575452
WLD,PIG,2000,11.3726594
WLD,PIG,2001,11.440045699999999
WLD,PIG,2002,11.5920454
WLD,PIG,2003,11.6367629
WLD,PIG,2004,11.6151961
WLD,PIG,2005,11.7513514
WLD,PIG,2006,11.921086099999998
WLD,PIG,2007,11.6307765
WLD,PIG,2008,11.9785953
WLD,PIG,2009,12.1428148
WLD,PIG,2010,12.308003900000001
WLD,PIG,2011,12.233224900000002
WLD,PIG,2012,12.4584344
WLD,PIG,2013,12.6173361
WLD,PIG,2014,12.773831300000001
WLD,PIG,2015,12.7064364
WLD,PIG,2016,12.488456
WLD,PIG,2017,12.422997500000001
WLD,PIG,2018,12.316255900000002
WLD,PIG,2019,11.9786817
WLD,PIG,2020,12.2351332
WLD,PIG,2021,12.2173733
WLD,PIG,2022,12.181527800000001
WLD,POULTRY,1990,4.7153113
WLD,POULTRY,1991,5.5743629
WLD,POULTRY,1992,5.903781200000001
WLD,POULTRY,1993,6.209116099999999
WLD,POULTRY,1994,6.5561064
WLD,POULTRY,1995,7.0056011
WLD,POULTRY,1996,7.0200644
WLD,POULTRY,1997,7.401507400000001
WLD,POULTRY,1998,7.581773200000001
WLD,POULTRY,1999,7.915971000000001
WLD,POULTRY,2000,9.709944
WLD,POULTRY,2001,9.9804755
WLD,POULTRY,2002,10.3295629
WLD,POULTRY,2003,10.453967
WLD,POULTRY,2004,10.6316337
WLD,POULTRY,2005,10.8743702
WLD,POULTRY,2006,11.1257481
WLD,POULTRY,2007,11.6446705
WLD,POULTRY,2008,12.193997999999999
WLD,POULTRY,2009,12.1631511
WLD,POULTRY,2010,12.781018
WLD,POULTRY,2011,13.1620256
WLD,POULTRY,2012,13.321308100000001
WLD,POULTRY,2013,13.4456125
WLD,POULTRY,2014,13.585638500000002
WLD,POULTRY,2015,13.849631599999999
WLD,POULTRY,2016,14.1034025
WLD,POULTRY,2017,14.0990154
WLD,POULTRY,2018,14.165341199999999
WLD,POULTRY,2019,14.298086900000001
WLD,POULTRY,2020,14.3129098
WLD,POULTRY,2021,14.3649554
WLD,POULTRY,2022,14.4049477
WLD,SHEEP,1990,1.2302506000000002
WLD,SHEEP,1991,1.2806156000000002
WLD,SHEEP,1992,1.3009966
WLD,SHEEP,1993,1.3189851000000001
WLD,SHEEP,1994,1.3461935
WLD,SHEEP,1995,1.3610743
WLD,SHEEP,1996,1.2896978000000001
WLD,SHEEP,1997,1.3370227
WLD,SHEEP,1998,1.367065
WLD,SHEEP,1999,1.3707053999999999
WLD,SHEEP,2000,1.6437853
WLD,SHEEP,2001,1.6143464
WLD,SHEEP,2002,1.611426
WLD,SHEEP,2003,1.6313962
WLD,SHEEP,2004,1.6717415
WLD,SHEEP,2005,1.7038924
WLD,SHEEP,2006,1.7062951000000002
WLD,SHEEP,2007,1.7469983
WLD,SHEEP,2008,1.7075156999999999
WLD,SHEEP,2009,1.6995917
WLD,SHEEP,2010,1.685427
WLD,SHEEP,2011,1.6757441000000002
WLD,SHEEP,2012,1.6613794999999998
WLD,SHEEP,2013,1.6849638
WLD,SHEEP,2014,1.7078896000000001
WLD,SHEEP,2015,1.7456682000000001
WLD,SHEEP,2016,1.7420151999999998
WLD,SHEEP,2017,1.751243
WLD,SHEEP,2018,1.7500358
WLD,SHEEP,2019,1.7262596999999997
WLD,SHEEP,2020,1.7371526000000002
WLD,SHEEP,2021,1.7445046999999998
WLD,SHEEP,2022,1.7519957999999998
