"Country Name","Country Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Aruba","ABW",764887117.19449,872138730.75459,958463200.20540,1082979707.65566,1245688253.10539,1320474860.33520,1379960893.85475,1531944134.07821,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2581564245.81006,2649720670.39106,2691620111.73184,2646927374.30168,2700558659.21788,
"Afghanistan","AFG",,,,,,,,,,,,,4055176933.36905,4515563413.82564,5226775163.30205,6209140044.00519,6971286731.72065,9747886104.53251,10109218067.79040,12439087076.76670,15856574731.44110,17804280538.11020,20001615788.67190,20561054090.39950,20484873230.21110,19907111418.99380,19362642266.64840,20191764940.16020,19362969582.36430
"Angola","AGO",11228764963.16180,10603784541.19700,8307810973.58848,5768720421.61367,4438321017.39068,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.41800,17812705294.32500,23552052407.54880,36970918699.25230,52381006892.03800,65266452081.38600,88538611205.14330,70307163678.23800,83799496611.20040,111789686464.44100,128052853643.10600,136709862831.19400,145712200312.50500,116193649124.15100,101123851090.45500,122123822333.59100,105750987618.63000
"Albania","ALB",2028553750.00000,1099559027.77778,652174990.83730,1185315468.46295,1880951520.39720,2392764853.42107,3199642579.96974,2258515610.08862,2545967253.24160,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.56980,8052075642.10781,8896073938.31407,10677321490.38070,12881353507.85390,12044208085.86400,11926953213.69610,12890866742.65330,12319784886.20380,12776280961.15500,13228247844.12470,11386931489.79680,11861352704.87000,13025062195.79060,15058879128.65360
"Andorra","AND",1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1434429703.33518,1496912751.67785,1733116883.11688,2398645598.19413,2935659299.72684,3255789080.96008,3543256805.92147,4016972351.49192,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3013387423.93509,3236543909.34844
"Arab World","ARB",446901684420.87500,440649432072.99300,471671634103.68200,477133962042.00500,487661715245.43000,523928956600.44800,578398811758.02500,613432360792.61000,591681589857.12700,644050661585.06400,735188056517.16700,723449066469.79500,729231446595.31800,823341300650.19500,964327345387.53100,1185142919458.18000,1404653310998.68000,1638213879955.77000,2078823967037.02000,1796358749934.16000,2110062113014.68000,2501833645178.18000,2787005632800.05000,2867265277713.17000,2908360229229.29000,2557989964900.41000,2506119300749.31000,2588873647194.90000,2781589257561.09000
"United Arab Emirates","ARE",50701443748.29750,51552165622.44620,54239171887.76900,55625170253.33700,59305093979.84200,65743666575.86490,73571233996.18630,78839008444.56550,75674336283.18580,84445473110.95980,104337372362.15100,103311640571.81800,109816201497.61700,124346358066.71200,147824370319.94600,180617018379.85000,222116541865.21400,257916133424.09800,315474615738.59800,253547358747.44700,289787338325.39100,350666031313.81900,374590605854.32300,390107556160.65400,403137100068.07300,358135057862.49200,357045064669.84300,382575085091.89900,414178897208.98600
"Argentina","ARG",141352368714.69100,189719984268.48500,228788617201.69600,236741715015.01500,257440000000.00000,258031750000.00000,272149750000.00000,292859000000.00000,298948250000.00000,283523000000.00000,284203750000.00000,268696750000.00000,97724004251.86020,127586973492.17700,164657930452.78700,198737095012.28200,232557260817.30800,287530508430.56800,361558037110.41900,332976484577.61900,423627422092.49000,530163281574.65800,545982375701.12800,552025140252.24600,526319673731.63800,594749285413.21200,557531376217.96700,642695864756.35000,518475134084.35700
"Armenia","ARM",2256838858.42714,2068526521.90299,1272577456.12712,1201313201.01272,1315158670.28285,1468317350.06841,1596968913.27897,1639492424.36472,1893726437.26462,1845482181.44801,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.14210,9206301700.39619,11662040713.87530,8647936747.98704,9260284937.79782,10142111334.49610,10619320048.58570,11121465767.40670,11609512939.75430,10553337672.98720,10546135160.03100,11527458565.73340,12433089919.04590
"American Samoa","ASM",,,,,,,,,,,,,514000000.00000,527000000.00000,512000000.00000,503000000.00000,496000000.00000,520000000.00000,563000000.00000,678000000.00000,576000000.00000,574000000.00000,644000000.00000,641000000.00000,643000000.00000,661000000.00000,653000000.00000,634000000.00000,
